weighted_persons,weighted_filers,poverty_rate_baseline,persons_in_poverty_baseline,poverty_gap_baseline_$,house_district,poverty_rate_no_eitc,persons_lifted_no_eitc,gap_closed_no_eitc_$,poverty_rate_no_ctc,persons_lifted_no_ctc,gap_closed_no_ctc_$,poverty_rate_no_hi_eitc,persons_lifted_no_hi_eitc,gap_closed_no_hi_eitc_$,poverty_rate_no_credits,persons_lifted_no_credits,gap_closed_no_credits_$,poverty_rate_expanded_ctc_2021,persons_lifted_expanded_ctc_2021,gap_closed_expanded_ctc_2021_$,poverty_rate_hi_eitc_100pct,persons_lifted_hi_eitc_100pct,gap_closed_hi_eitc_100pct_$,poverty_rate_hi_ctc_300,persons_lifted_hi_ctc_300,gap_closed_hi_ctc_300_$,poverty_rate_hi_ctc_650,persons_lifted_hi_ctc_650,gap_closed_hi_ctc_650_$,poverty_rate_hi_ctc_1000,persons_lifted_hi_ctc_1000,gap_closed_hi_ctc_1000_$
32510.0,13663.0,0.14727776068901877,4788.0,26766176.970838837,1,0.16241156567210088,492.0,1553849.7229324952,0.15152260842817594,138.0,41440.65115177259,0.15087665333743464,117.0,516793.191864945,0.17154721624115657,789.0,2669679.1468254216,0.1358966471854814,370.0,2042788.6659619957,0.14567825284527838,52.0,617459.1547108628,0.14727776068901877,0.0,141330.0,0.14727776068901877,0.0,306215.0,0.14727776068901877,0.0,471100.0
31205.0,13289.0,0.18304758852747957,5712.0,32143028.709570065,2,0.2053196603108476,695.0,1559149.9090896249,0.20400576830636116,654.0,554983.3879859261,0.18737381829834962,135.0,505493.25912223756,0.22127864124339047,1193.0,3700874.1959355175,0.17106232975484698,374.0,2015518.383614868,0.17599743630828393,220.0,676231.8218265101,0.18304758852747957,0.0,168840.0,0.18304758852747957,0.0,365820.0,0.18304758852747957,0.0,562800.0
30810.0,13104.0,0.1730282375851996,5331.0,28245798.516958013,3,0.19237260629665692,596.0,1956102.155469153,0.18591366439467705,397.0,570646.5111266747,0.1822135670236936,283.0,654540.0354434587,0.236222005842259,1947.0,4655724.795535136,0.15365141187925999,597.0,2007403.8468755297,0.1596884128529698,411.0,819380.6414072886,0.1730282375851996,0.0,185010.0,0.16601752677702045,216.0,392726.32235155255,0.16601752677702045,216.0,590931.3223515525
32409.0,14338.0,0.1436946527199235,4657.0,28863356.5406783,5,0.15566663581104015,388.0,1164158.0810873136,0.14520657841957482,49.0,181576.65925874189,0.1488783979758709,168.0,423467.4901342653,0.1587521984633898,488.0,2083932.9234916493,0.13530192230553242,272.0,2342596.9130393453,0.13826406245178807,176.0,587860.393188417,0.1436946527199235,0.0,168000.0,0.14286155080378907,27.0,362176.2315210849,0.14286155080378907,27.0,555971.2315210849
31528.0,13289.0,0.1306140573458513,4118.0,25246838.820032753,6,0.1566226845978178,820.0,1146545.763188947,0.14231793960923622,369.0,177075.18498315662,0.1503108348134991,621.0,316964.82976631075,0.1625222024866785,1006.0,2433842.571769178,0.1272202486678508,107.0,818552.0528302677,0.1278546054300939,87.0,226580.01848285645,0.1278546054300939,87.0,58520.93456285447,0.1278546054300939,87.0,121240.93456285447,0.1278546054300939,87.0,183960.93456285447
31466.0,11811.0,0.20943240322888196,6590.0,23906001.887373462,7,0.2196974512171868,323.0,1277120.8609440252,0.21445369605288248,158.0,82949.11957167834,0.21388165003495838,140.0,456210.9303702414,0.2857052056187631,2400.0,2708667.2091182396,0.12801118667768385,2562.0,2763423.785961263,0.20288565435708383,206.0,528413.9031357616,0.2093052818915655,4.0,304996.86517713964,0.2093052818915655,4.0,660491.8651771396,0.17155024470857433,1192.0,985050.4765925854
39338.0,15993.0,0.13747521480502314,5408.0,28069351.063123904,9,0.1535665260053892,633.0,2288655.72730124,0.1454318979104174,313.0,634845.7403787076,0.1464233057094921,352.0,775635.6264893487,0.1760892775433423,1519.0,4358389.563663382,0.10567390309624282,1251.0,1306233.4751929156,0.1091819614621994,1113.0,638425.2202424556,0.13747521480502314,0.0,162540.0,0.13747521480502314,0.0,352170.0,0.13391631501347298,140.0,526764.6314727664
33053.0,14402.0,0.1345717484040783,4448.0,24567135.000707727,11,0.1436480803557922,300.0,1820817.8568740673,0.14086467189059995,208.0,299931.6689292565,0.1345717484040783,0.0,682559.5119999982,0.15326899222460896,618.0,3628963.8707923256,0.1241339666596073,345.0,3257240.008180294,0.13378513296826308,26.0,998286.5107903779,0.1345717484040783,0.0,244650.0,0.1345717484040783,0.0,530075.0,0.1345717484040783,0.0,815499.9999999963
35361.0,14074.0,0.10353213992816945,3661.0,18484913.577607818,12,0.1215746161024858,638.0,1082051.9447362237,0.10480472837306637,45.0,208504.05413960665,0.10480472837306637,45.0,339549.8376878612,0.12228160968298409,663.0,2051012.9181563482,0.07986199485308673,837.0,770044.1722244993,0.09154152880291846,424.0,329337.56417987123,0.10353213992816945,0.0,105420.0,0.0954158536240491,287.0,220162.5637481995,0.0954158536240491,287.0,313017.5637481995
35702.0,14398.0,0.08957481373592516,3198.0,19579884.782503456,13,0.09786566578903143,296.0,1016579.1589179635,0.09433645173939835,170.0,72841.65781717747,0.09066718951319254,39.0,349296.2189087197,0.10811719231415606,662.0,1923739.5087316558,0.08705394655761582,90.0,1282660.2240747437,0.08957481373592516,0.0,479419.684799999,0.08957481373592516,0.0,92820.0,0.08957481373592516,0.0,201110.0,0.08957481373592516,0.0,309400.0
