county,poverty_rate_baseline,poverty_rate_baseline_se,poverty_rate_baseline_ci90_low,poverty_rate_baseline_ci90_high,persons_in_poverty_baseline,persons_in_poverty_baseline_se,persons_in_poverty_baseline_ci90_low,persons_in_poverty_baseline_ci90_high,poverty_gap_baseline_$,poverty_gap_baseline_$_se,poverty_gap_baseline_$_ci90_low,poverty_gap_baseline_$_ci90_high,persons_lifted_no_eitc,persons_lifted_no_eitc_se,persons_lifted_no_eitc_ci90_low,persons_lifted_no_eitc_ci90_high,gap_closed_no_eitc_$,gap_closed_no_eitc_$_se,gap_closed_no_eitc_$_ci90_low,gap_closed_no_eitc_$_ci90_high,persons_lifted_no_ctc,persons_lifted_no_ctc_se,persons_lifted_no_ctc_ci90_low,persons_lifted_no_ctc_ci90_high,gap_closed_no_ctc_$,gap_closed_no_ctc_$_se,gap_closed_no_ctc_$_ci90_low,gap_closed_no_ctc_$_ci90_high,persons_lifted_no_hi_eitc,persons_lifted_no_hi_eitc_se,persons_lifted_no_hi_eitc_ci90_low,persons_lifted_no_hi_eitc_ci90_high,gap_closed_no_hi_eitc_$,gap_closed_no_hi_eitc_$_se,gap_closed_no_hi_eitc_$_ci90_low,gap_closed_no_hi_eitc_$_ci90_high,persons_lifted_no_credits,persons_lifted_no_credits_se,persons_lifted_no_credits_ci90_low,persons_lifted_no_credits_ci90_high,gap_closed_no_credits_$,gap_closed_no_credits_$_se,gap_closed_no_credits_$_ci90_low,gap_closed_no_credits_$_ci90_high,persons_lifted_expanded_ctc_2021,persons_lifted_expanded_ctc_2021_se,persons_lifted_expanded_ctc_2021_ci90_low,persons_lifted_expanded_ctc_2021_ci90_high,gap_closed_expanded_ctc_2021_$,gap_closed_expanded_ctc_2021_$_se,gap_closed_expanded_ctc_2021_$_ci90_low,gap_closed_expanded_ctc_2021_$_ci90_high,persons_lifted_hi_eitc_100pct,persons_lifted_hi_eitc_100pct_se,persons_lifted_hi_eitc_100pct_ci90_low,persons_lifted_hi_eitc_100pct_ci90_high,gap_closed_hi_eitc_100pct_$,gap_closed_hi_eitc_100pct_$_se,gap_closed_hi_eitc_100pct_$_ci90_low,gap_closed_hi_eitc_100pct_$_ci90_high,persons_lifted_hi_ctc_300,persons_lifted_hi_ctc_300_se,persons_lifted_hi_ctc_300_ci90_low,persons_lifted_hi_ctc_300_ci90_high,gap_closed_hi_ctc_300_$,gap_closed_hi_ctc_300_$_se,gap_closed_hi_ctc_300_$_ci90_low,gap_closed_hi_ctc_300_$_ci90_high,persons_lifted_hi_ctc_650,persons_lifted_hi_ctc_650_se,persons_lifted_hi_ctc_650_ci90_low,persons_lifted_hi_ctc_650_ci90_high,gap_closed_hi_ctc_650_$,gap_closed_hi_ctc_650_$_se,gap_closed_hi_ctc_650_$_ci90_low,gap_closed_hi_ctc_650_$_ci90_high,persons_lifted_hi_ctc_1000,persons_lifted_hi_ctc_1000_se,persons_lifted_hi_ctc_1000_ci90_low,persons_lifted_hi_ctc_1000_ci90_high,gap_closed_hi_ctc_1000_$,gap_closed_hi_ctc_1000_$_se,gap_closed_hi_ctc_1000_$_ci90_low,gap_closed_hi_ctc_1000_$_ci90_high
Hawaii,0.16425171643991407,0.010078923721505463,0.1476718869180376,0.18083154596179055,31196.0,2047.9624142058858,27827.10182863132,34564.89817136868,165171201.44545138,9567070.314493189,149433370.7781101,180909032.11279267,3314.0,629.2511422317801,2278.8818710287214,4349.118128971279,8656926.492711559,1140167.4838914068,6781350.981710195,10532502.003712922,1765.0,501.3967989526858,940.2022657228318,2589.7977342771683,1608671.5140779524,526792.5578063437,742097.756486517,2475245.271669388,1464.0,487.6537193542155,661.8096316623155,2266.1903683376845,2873469.736701461,440729.66635078227,2148469.4355544243,3598470.0378484977,7823.0,1223.1348658263323,5810.943145715683,9835.056854284318,18252720.842675142,2219642.4021670967,14601409.091110267,21904032.594240017,4282.0,1333.115317592593,2089.025302560184,6474.974697439816,11990283.648283273,1764502.652271872,9087676.785296043,14892890.511270503,1152.0,411.2243305058688,475.5359763178458,1828.4640236821542,3455925.9327516984,541701.6419516951,2564826.73174116,4347025.133762237,91.0,92.71596410543332,-61.5177609534378,243.5177609534378,1026697.799739995,155418.3108809068,771034.6783409034,1282360.9211390866,334.0,204.1941478103621,-1.8993731480456404,669.8993731480457,2208670.353612637,335672.11513799545,1656489.7242106346,2760850.9830146395,1522.0,1088.8064336694563,-269.0865833862556,3313.0865833862554,3349813.965028085,504329.1092546257,2520192.5803042254,4179435.349751944
Honolulu,0.10652879979973205,0.0032254396653088814,0.10122295155029894,0.11183464804916517,99152.0,3018.0374831999684,94187.32834013605,104116.67165986395,529883986.4502991,17917256.846559905,500410098.937708,559357873.9628901,13541.0,1597.5364941058467,10913.052467195881,16168.947532804119,29934049.46980028,1935585.6741274232,26750011.03586067,33118087.90373989,6126.0,1029.28718052835,4432.822588030864,7819.177411969136,5766781.995426966,863472.266607038,4346370.116858388,7187193.873995543,5122.0,1013.3623981577371,3455.0188550305224,6788.981144969477,10288410.165034944,698460.1473815155,9139443.222592352,11437377.107477536,28296.0,2118.3701045851267,24811.281177957466,31780.718822042534,64288846.337496266,3740653.74653142,58135470.92445208,70442221.75054045,13277.0,1440.088469504565,10908.054467664992,15645.945532335008,37900347.95843659,2462438.080192883,33849637.3165193,41951058.60035389,5964.0,892.4504468036307,4495.919015008028,7432.080984991972,11540683.983812202,818266.2937787136,10194635.930546219,12886732.037078185,984.0,279.1298085120971,524.8314649976003,1443.1685350023997,3278296.190985715,195751.10287491028,2956285.6267564874,3600306.7552149426,2762.0,649.0845091357519,1694.2559824716882,3829.744017528312,6932427.715674602,418959.9856726555,6243238.539243084,7621616.8921061205,4181.0,759.9020331595383,2930.9611554525595,5431.03884454744,10442390.250818186,643924.7304606336,9383134.069210444,11501646.432425927
Kauai,0.14114769271453126,0.014285345541870493,0.11764829929815429,0.16464708613090823,8540.0,934.3552054759475,7002.985686992066,10077.014313007934,41666219.15896955,3768754.3778517544,35466618.207403414,47865820.11053569,1655.0,492.26161743528206,845.229639318961,2464.770360681039,3479477.873733504,824786.240655611,2122704.507855024,4836251.239611984,482.0,296.0181582268223,-4.949870283122721,968.9498702831227,781408.9450759,364777.9052794002,181349.29089128668,1381468.5992605132,286.0,125.6399617956007,79.32226284623684,492.67773715376313,1080764.218907619,276553.3249918623,625833.9992960053,1535694.4385192324,2347.0,605.1806755011268,1351.4777888006465,3342.5222111993535,6957439.635153706,1740095.7816914883,4094982.0742712077,9819897.196036205,1986.0,790.88627501051,684.992077607711,3287.007922392289,2858936.0603547,578800.3854672621,1906809.4262610537,3811062.6944483463,1093.0,666.5130156268518,-3.4139107061712366,2189.413910706171,1094910.57426677,214228.04162982944,742505.4457857005,1447315.7027478395,0.0,0.0,0.0,0.0,300510.0,70464.3101151214,184596.20986062527,416423.79013937473,0.0,0.0,0.0,0.0,651105.0,152672.67191609635,399958.4546980215,902251.5453019785,0.0,0.0,0.0,0.0,1001700.0,234881.03371707135,615320.6995354176,1388079.3004645824
Maui,0.10325275281609923,0.007270275040586283,0.0912931503743348,0.11521235525786366,16316.0,1280.208264307023,14210.057405214948,18421.942594785054,91395055.68474264,6671367.279435852,80420656.51007067,102369454.85941462,1564.0,346.8422552112127,993.444490177555,2134.555509822445,5209087.329210155,851785.010872346,3807900.9863251457,6610273.672095164,572.0,226.80509253541905,198.90562277923567,945.0943772207643,877775.6735956304,323655.36338886805,345362.60082094255,1410188.7463703183,529.0,175.61249955512847,240.11743823181365,817.8825617681864,1816305.5783825568,336794.71068329626,1262278.2793085345,2370332.8774565794,4313.0,740.4547589150873,3094.9519215846813,5531.048078415319,11213010.35469804,1695883.6040211818,8423281.826083194,14002738.883312885,1940.0,556.6790816978846,1024.2629106069799,2855.73708939302,6429665.1423884295,1309195.0043881813,4276039.360169871,8583290.924606988,724.0,346.1828996354384,154.52913009970382,1293.4708699002963,2328206.631438008,471195.11047152325,1553090.6747123525,3103322.5881636636,185.0,130.59843031215956,-29.834417863502495,399.8344178635025,563610.3465430315,104055.40148856952,392439.2110943346,734781.4819917284,577.0,302.952719083358,78.6427771078761,1075.357222892124,1197051.9033136773,223675.85783724475,829105.1171714097,1564998.689455945,737.0,333.69124951068164,188.07789455492866,1285.9221054450713,1789556.8323159227,336411.159811098,1236160.4744266665,2342953.190205179
