weighted_persons,weighted_filers,poverty_rate_baseline,persons_in_poverty_baseline,poverty_gap_baseline_$,senate_district,poverty_rate_no_eitc,persons_lifted_no_eitc,gap_closed_no_eitc_$,poverty_rate_no_ctc,persons_lifted_no_ctc,gap_closed_no_ctc_$,poverty_rate_no_hi_eitc,persons_lifted_no_hi_eitc,gap_closed_no_hi_eitc_$,poverty_rate_no_credits,persons_lifted_no_credits,gap_closed_no_credits_$,poverty_rate_expanded_ctc_2021,persons_lifted_expanded_ctc_2021,gap_closed_expanded_ctc_2021_$,poverty_rate_hi_eitc_100pct,persons_lifted_hi_eitc_100pct,gap_closed_hi_eitc_100pct_$,poverty_rate_hi_ctc_300,persons_lifted_hi_ctc_300,gap_closed_hi_ctc_300_$,poverty_rate_hi_ctc_650,persons_lifted_hi_ctc_650,gap_closed_hi_ctc_650_$,poverty_rate_hi_ctc_1000,persons_lifted_hi_ctc_1000,gap_closed_hi_ctc_1000_$
63155.0,26491.0,0.1484126355791307,9373.0,49422487.21188478,1,0.16139656400918376,820.0,2902496.16920802,0.1554746259203547,446.0,463793.2806516886,0.15002770960335682,102.0,972642.9117495418,0.169361095716887,1323.0,5797847.422690332,0.13387696936109572,918.0,3196477.1619259715,0.1366637637558388,742.0,1208054.414742194,0.14834929934288654,4.0,270556.86517713964,0.14492914258570183,220.0,577743.1875286996,0.14492914258570183,220.0,875418.1875286996
60269.0,26768.0,0.16939056563075544,10209.0,60307239.74895863,3,0.19451127445286964,1514.0,2454690.119842775,0.18450613084670395,911.0,550382.1901675537,0.18830576249813336,1140.0,733460.263309747,0.22076025817584496,3096.0,5509738.83441554,0.14938027841842408,1206.0,3511848.3509867936,0.16708423899517164,139.0,673244.03035371,0.16794703744877135,87.0,301070.934562847,0.16749904594401765,114.0,644942.1660839394,0.16749904594401765,114.0,988432.1660839319
66504.0,26235.0,0.1746361121135571,11614.0,55441474.48460801,4,0.1893720678455431,980.0,3299740.2036607713,0.18077108143871046,408.0,594496.0432587191,0.1779742571875376,222.0,1167366.5616421849,0.22582100324792495,3404.0,6945134.5855692625,0.1421869361241429,2158.0,5281958.135370508,0.17056116925297726,271.0,1574627.4876557812,0.1746361121135571,0.0,455070.0,0.1746361121135571,0.0,985985.0,0.1567725249609046,1188.0,1485963.6114154458
74671.0,29839.0,0.09978438751322467,7451.0,39355494.260985956,6,0.113109507037538,995.0,3080657.9167738184,0.10725716811077929,558.0,770681.2028819174,0.10155214206318383,132.0,1026744.277499482,0.12539004432778456,1912.0,6149937.377708949,0.07889274283188923,1560.0,2224951.690467,0.0837138916045051,1200.0,1010744.4132414982,0.09978438751322467,0.0,243600.0,0.09978438751322467,0.0,527800.0,0.09790949632387407,140.0,796964.6314727664
70852.0,28854.0,0.13628408513521142,9656.0,44464724.14604061,7,0.15549314063117484,1361.0,3790572.85104651,0.14126630158640546,353.0,684640.448401764,0.14098402303392987,333.0,1256605.1564303264,0.17022808107040027,2405.0,7443580.184781648,0.11027211652458646,1843.0,4244047.847770624,0.13152769152599786,337.0,1682868.6724608168,0.13494326201095241,95.0,404598.5473111868,0.1308925647829278,382.0,866996.1110593826,0.1308925647829278,382.0,1307506.1110593826
73001.0,30017.0,0.10614923083245435,7749.0,49241056.43668562,8,0.11797098669881234,863.0,1817334.4351233318,0.10810810810810811,143.0,203862.96738785505,0.11094368570293557,350.0,613720.3633603603,0.13824468157970438,2343.0,4576932.427361153,0.09898494541170669,523.0,2819601.664505504,0.10231366693606937,280.0,729504.120002456,0.10491637100861632,90.0,215921.7992318496,0.10347803454747195,195.0,453360.7922542989,0.10320406569773016,215.0,686786.0897837728
33986.0,12757.0,0.1762490437238863,5990.0,27628404.936700083,9,0.1911963749779321,508.0,1025256.8692482039,0.18363443770964516,251.0,67981.96526826546,0.1789560407226505,92.0,357852.0300155282,0.20905667039369152,1115.0,2752035.921698019,0.17236509150826812,132.0,2390131.5132273734,0.17563114223503795,21.0,483966.21383598447,0.17404225269228507,75.0,161426.46331631392,0.17404225269228507,75.0,347136.4633163102,0.17342435120343672,96.0,531527.9255922884
89803.0,33096.0,0.08348273442980747,7497.0,33574881.204048455,10,0.09770274935135798,1277.0,3175617.121751055,0.0883823480284623,440.0,656307.265780434,0.08967406434083494,556.0,1079576.5127061307,0.10999632528980101,2381.0,6444097.372307375,0.06122289901228244,1999.0,3331458.690999463,0.07111121009320401,1111.0,964779.1272467896,0.08113314699954345,211.0,336593.38863599673,0.07327149427079274,917.0,684966.1936986558,0.07153435854036057,1073.0,990250.7821829282
132145.0,46416.0,0.098058950395399,12958.0,62923655.6870675,11,0.10791933103787506,1303.0,3882776.5654181764,0.1061182791630406,1065.0,896752.7556467801,0.10409777138749102,798.0,1408978.3826659694,0.13173407998789208,4450.0,9411705.981740333,0.08438457754739112,1807.0,6830683.68213141,0.08882666767565932,1220.0,1456799.9139760807,0.09783192704983162,30.0,565775.8556545004,0.09404063717885656,531.0,1187065.7096076086,0.09282227855764501,692.0,1779904.7106246203
72505.0,29974.0,0.14448658713192195,10476.0,55065309.6344138,13,0.16467829804841044,1464.0,3556541.232838027,0.14912075029308325,336.0,448567.947276704,0.1564167988414592,865.0,1267175.3481663838,0.18533894214192126,2962.0,6419843.919064373,0.11333011516447142,2259.0,3732391.332712427,0.1336459554513482,786.0,1364347.9632394016,0.1436590579960003,60.0,341354.69787409157,0.1412454313495621,235.0,728381.8717338368,0.13931453003241157,375.0,1098133.257926993
