county,weighted_filers,filers_receiving_eitc,total_eitc_dollars,filers_receiving_ctc,total_ctc_dollars,refundable_ctc_dollars,hi_eitc_dollars
Hawaii,105111.5899539508,16060.030033222585,35764385.72973367,19467.96244520611,71843158.41624239,52393927.01280326,14305754.291893467
Honolulu,503088.3409190585,55477.40153841274,122221418.15194367,89675.99724854094,310478897.45891833,240964519.46388394,48888567.26077747
Kauai,37804.88131131869,6400.371337673484,15856284.188142309,6260.244896534165,20251417.972175382,16060412.182165038,6342513.675256924
Maui,86972.32692063437,11713.196992581943,25394694.826544125,15754.305737679015,51916132.77131499,40878303.945072666,10157877.930617651
