weighted_persons,weighted_filers,poverty_rate_baseline,persons_in_poverty_baseline,poverty_gap_baseline_$,county,poverty_rate_rxkids_hi,persons_lifted_rxkids_hi,gap_closed_rxkids_hi_$,poverty_rate_no_eitc,persons_lifted_no_eitc,gap_closed_no_eitc_$,poverty_rate_no_ctc,persons_lifted_no_ctc,gap_closed_no_ctc_$,poverty_rate_hi_ctc_650,persons_lifted_hi_ctc_650,gap_closed_hi_ctc_650_$
189928.0,79494.0,0.16425171643991407,31196.0,165171201.44545144,Hawaii,0.15737542647740196,1306.0,1944107.5426765382,0.1817004338486163,3314.0,8656926.492711574,0.17354471168021565,1765.0,1608671.5140779614,0.16249315530095615,334.0,2208670.3536126614
930753.0,367560.0,0.10652879979973205,99152.0,529883986.450299,Honolulu,0.10350114369762976,2818.0,6202859.257810593,0.12107723531377283,13541.0,29934049.469800353,0.11311056746526738,6126.0,5766781.995426953,0.10356131003606757,2762.0,6932427.71567452
60504.0,25511.0,0.14114769271453126,8540.0,41666219.15896955,Kauai,0.1402056062409097,57.0,577714.0589545518,0.16850125611529818,1655.0,3479477.8737335056,0.1491141081581383,482.0,781408.9450758994,0.14114769271453126,0.0,651105.0
158020.0,63199.0,0.10325275281609923,16316.0,91395055.68474264,Maui,0.10208201493481837,185.0,987929.446543023,0.11315023414757626,1564.0,5209087.329210147,0.10687254777876218,572.0,877775.6735956222,0.09960131628907733,577.0,1197051.9033136815
