weighted_persons,weighted_filers,poverty_rate_baseline,persons_in_poverty_baseline,poverty_gap_baseline_$,house_district,poverty_rate_rxkids_hi,persons_lifted_rxkids_hi,gap_closed_rxkids_hi_$,poverty_rate_no_eitc,persons_lifted_no_eitc,gap_closed_no_eitc_$,poverty_rate_no_ctc,persons_lifted_no_ctc,gap_closed_no_ctc_$,poverty_rate_hi_ctc_650,persons_lifted_hi_ctc_650,gap_closed_hi_ctc_650_$
32510.0,13663.0,0.14727776068901877,4788.0,26766176.970838837,1,0.14727776068901877,0.0,259548.29999999702,0.16241156567210088,492.0,1553849.7229324952,0.15152260842817594,138.0,41440.65115177259,0.14727776068901877,0.0,306215.0
31205.0,13289.0,0.18304758852747957,5712.0,32143028.709570065,2,0.18304758852747957,0.0,318621.6000000015,0.2053196603108476,695.0,1559149.9090896249,0.20400576830636116,654.0,554983.3879859261,0.18304758852747957,0.0,365820.0
30810.0,13104.0,0.1730282375851996,5331.0,28245798.516958013,3,0.1730282375851996,0.0,323433.0,0.19237260629665692,596.0,1956102.155469153,0.18591366439467705,397.0,570646.5111266747,0.16601752677702045,216.0,392726.32235155255
32409.0,14338.0,0.1436946527199235,4657.0,28863356.5406783,5,0.14286155080378907,27.0,294964.73152108863,0.15566663581104015,388.0,1164158.0810873136,0.14520657841957482,49.0,181576.65925874189,0.14286155080378907,27.0,362176.2315210849
31528.0,13289.0,0.1306140573458513,4118.0,25246838.820032753,6,0.1278546054300939,87.0,108740.63456285745,0.1566226845978178,820.0,1146545.763188947,0.14231793960923622,369.0,177075.18498315662,0.1278546054300939,87.0,121240.93456285447
31466.0,11811.0,0.20943240322888196,6590.0,23906001.887373462,7,0.17155024470857433,1192.0,638799.2765925862,0.2196974512171868,323.0,1277120.8609440252,0.21445369605288248,158.0,82949.11957167834,0.2093052818915655,4.0,660491.8651771396
39338.0,15993.0,0.13747521480502314,5408.0,28069351.063123904,9,0.13747521480502314,0.0,392931.0,0.1535665260053892,633.0,2288655.72730124,0.1454318979104174,313.0,634845.7403787076,0.13747521480502314,0.0,352170.0
33053.0,14402.0,0.1345717484040783,4448.0,24567135.000707727,11,0.1345717484040783,0.0,335996.09999999776,0.1436480803557922,300.0,1820817.8568740673,0.14086467189059995,208.0,299931.6689292565,0.1345717484040783,0.0,530075.0
35361.0,14074.0,0.10353213992816945,3661.0,18484913.577607818,12,0.10353213992816945,0.0,167597.1000000015,0.1215746161024858,638.0,1082051.9447362237,0.10480472837306637,45.0,208504.05413960665,0.0954158536240491,287.0,220162.5637481995
35702.0,14398.0,0.08957481373592516,3198.0,19579884.782503456,13,0.08957481373592516,0.0,157172.39999999478,0.09786566578903143,296.0,1016579.1589179635,0.09433645173939835,170.0,72841.65781717747,0.08957481373592516,0.0,201110.0
37011.0,15109.0,0.11474966901731917,4247.0,19944245.023312464,14,0.1104806679095404,158.0,258927.85104406253,0.12466563994488125,367.0,988590.6981243789,0.12334170922158277,318.0,300594.3184067905,0.10918375618059496,206.0,267237.78511196375
38059.0,14734.0,0.10231482697916393,3894.0,22415745.39645682,16,0.10010772747576131,84.0,253019.05445351452,0.12819569615596837,985.0,1491869.8169897906,0.10231482697916393,0.0,142467.1790000014,0.10010772747576131,84.0,277401.55445351824
