weighted_persons,weighted_filers,poverty_rate_baseline,persons_in_poverty_baseline,poverty_gap_baseline_$,senate_district,poverty_rate_rxkids_hi,persons_lifted_rxkids_hi,gap_closed_rxkids_hi_$,poverty_rate_no_eitc,persons_lifted_no_eitc,gap_closed_no_eitc_$,poverty_rate_no_ctc,persons_lifted_no_ctc,gap_closed_no_ctc_$,poverty_rate_hi_ctc_650,persons_lifted_hi_ctc_650,gap_closed_hi_ctc_650_$
63155.0,26491.0,0.1484126355791307,9373.0,49422487.21188478,1,0.14834929934288654,4.0,493989.96517714113,0.16139656400918376,820.0,2902496.16920802,0.1554746259203547,446.0,463793.2806516886,0.14492914258570183,220.0,577743.1875286996
60269.0,26768.0,0.16939056563075544,10209.0,60307239.74895863,3,0.16749904594401765,114.0,568362.1660839319,0.19451127445286964,1514.0,2454690.119842775,0.18450613084670395,911.0,550382.1901675537,0.16749904594401765,114.0,644942.1660839394
66504.0,26235.0,0.1746361121135571,11614.0,55441474.48460801,4,0.1567725249609046,1188.0,881755.4114154428,0.1893720678455431,980.0,3299740.2036607713,0.18077108143871046,408.0,594496.0432587191,0.1746361121135571,0.0,985985.0
74671.0,29839.0,0.09978438751322467,7451.0,39355494.260985956,6,0.0990210389575605,57.0,486832.05895454437,0.113109507037538,995.0,3080657.9167738184,0.10725716811077929,558.0,770681.2028819174,0.09978438751322467,0.0,527800.0
70852.0,28854.0,0.13628408513521142,9656.0,44464724.14604061,7,0.13494326201095241,95.0,684407.3473111764,0.15549314063117484,1361.0,3790572.85104651,0.14126630158640546,353.0,684640.448401764,0.1308925647829278,382.0,866996.1110593826
73001.0,30017.0,0.10614923083245435,7749.0,49241056.43668562,8,0.10491637100861632,90.0,394404.09923184663,0.11797098669881234,863.0,1817334.4351233318,0.10810810810810811,143.0,203862.96738785505,0.10347803454747195,195.0,453360.7922542989
33986.0,12757.0,0.1762490437238863,5990.0,27628404.936700083,9,0.17192373330194785,147.0,442124.0656938404,0.1911963749779321,508.0,1025256.8692482039,0.18363443770964516,251.0,67981.96526826546,0.17404225269228507,75.0,347136.4633163102
89803.0,33096.0,0.08348273442980747,7497.0,33574881.204048455,10,0.0757658430119261,693.0,469908.55605171993,0.09770274935135798,1277.0,3175617.121751055,0.0883823480284623,440.0,656307.265780434,0.07327149427079274,917.0,684966.1936986558
132145.0,46416.0,0.098058950395399,12958.0,62923655.6870675,11,0.09404063717885656,531.0,971745.8096076101,0.10791933103787506,1303.0,3882776.5654181764,0.1061182791630406,1065.0,896752.7556467801,0.09404063717885656,531.0,1187065.7096076086
72505.0,29974.0,0.14448658713192195,10476.0,55065309.6344138,13,0.1412454313495621,235.0,700902.4717338309,0.16467829804841044,1464.0,3556541.232838027,0.14912075029308325,336.0,448567.947276704,0.1412454313495621,235.0,728381.8717338368
32076.0,13591.0,0.06219603441825664,1995.0,12522116.871970978,14,0.06219603441825664,0.0,90080.10000000149,0.06406659184436962,60.0,817895.455532413,0.06406659184436962,60.0,34802.76553241536,0.06094899613418132,40.0,114771.85046411678
97087.0,37402.0,0.1200984683840267,11660.0,57344529.600573264,15,0.11860496255935399,145.0,832074.2796952203,0.13957584434579295,1891.0,3637660.594328977,0.12245717758299257,229.0,421061.0961329192,0.11860496255935399,145.0,934174.7796952203
95970.0,33839.0,0.08488069188288007,8146.0,36758799.097003005,16,0.08306762529957279,174.0,641240.3071373478,0.10874231530686673,2290.0,3091435.7406593636,0.0995415233927269,1407.0,1033648.2339923158,0.08419297697197041,66.0,740144.6069786772
73009.0,35948.0,0.1467353339999178,10713.0,66050942.09583608,19,0.1438726732320673,209.0,514724.19877705723,0.1573778575244148,777.0,3275740.5164097324,0.15057047761234915,280.0,550093.7672301158,0.1431604322754729,261.0,594330.8819879368
40955.0,23328.0,0.1578073495299719,6463.0,46369542.64185367,21,0.1563911610303992,58.0,257063.21188694984,0.15790501770235624,4.0,1278132.956426628,0.1578073495299719,0.0,81600.0,0.15521914296178732,106.0,197742.46889362484
120902.0,50169.0,0.10885676002051248,13161.0,77510428.9058679,23,0.10764917040247474,146.0,704448.6088207364,0.12145373939223503,1523.0,3470027.7889623493,0.11324047575722486,530.0,557453.2704464495,0.10811235546144811,90.0,834248.5982915461
76452.0,28417.0,0.054046983728352434,4132.0,24794704.855758864,24,0.050279914194527285,288.0,171810.16790190712,0.05718620833987338,240.0,822031.0691439547,0.06088787736095851,523.0,188562.22474703565,0.05268665306336002,104.0,208220.61050258577
65863.0,22623.0,0.09050605043803046,5961.0,29340670.91920547,25,0.0875909084007713,192.0,406737.48050447553,0.12396945174073455,2204.0,1900933.5590813868,0.10576499703930888,1005.0,829950.7033735327,0.0875909084007713,192.0,361243.6805044748
