weighted_persons,weighted_filers,poverty_rate_baseline,persons_in_poverty_baseline,poverty_gap_baseline_$,filing_status,poverty_rate_rxkids_hi,persons_lifted_rxkids_hi,gap_closed_rxkids_hi_$,poverty_rate_no_eitc,persons_lifted_no_eitc,gap_closed_no_eitc_$,poverty_rate_no_ctc,persons_lifted_no_ctc,gap_closed_no_ctc_$,poverty_rate_hi_ctc_650,persons_lifted_hi_ctc_650,gap_closed_hi_ctc_650_$
47087.0,17671.0,0.27788986344426275,13085.0,56767148.47619244,head_of_household,0.27372735574574725,196.0,2095179.6997180507,0.3536857306687621,3569.0,8998360.083525471,0.29859621551595983,975.0,1365446.330371447,0.2755112876165396,112.0,3083143.495812133
1108517.0,334492.0,0.07903983430114288,87617.0,262021670.82727253,married_filing_jointly,0.07527805166722748,4170.0,7477098.106266737,0.09392909626104065,16505.0,34836709.171930015,0.08622962029450157,7970.0,7669191.797805011,0.07582743431088562,3561.0,7906111.476788789
183601.0,183601.0,0.29685023502050645,54502.0,509327643.4359977,single,0.29685023502050645,0.0,140332.5,0.29685023502050645,0.0,3444471.9099999666,0.29685023502050645,0.0,0.0,0.29685023502050645,0.0,0.0
