county,weighted_filers,filers_receiving_eitc,total_eitc_dollars,filers_receiving_ctc,total_ctc_dollars,refundable_ctc_dollars,hi_eitc_dollars
Hawaii,106482.87697235488,15756.297049619188,34838868.269947454,20505.86293348881,75441815.28771023,35725852.534272194,4090708.1518890057
Honolulu,506946.58407253365,52052.28466874701,112733029.79459596,92863.10770673331,321714565.74584424,154156517.2771796,14070630.080757085
Kauai,38403.55638780852,6572.706413712705,15096618.348657858,6676.09085946058,21720628.562374044,9749467.23488598,1891837.473240573
Maui,87813.06169735645,10773.331766538362,22031483.586798716,16359.765766945608,53416592.31900625,24010022.668748885,2616219.849560997
