county,weighted_filers,filers_receiving_eitc,total_eitc_dollars,filers_receiving_ctc,total_ctc_dollars,refundable_ctc_dollars,hi_eitc_dollars
Hawaii,106482.87697235488,15756.297049619188,31849000.144431055,20505.86293348881,75441815.28771023,48886710.66965331,4090708.1518890057
Honolulu,506946.58407253365,52052.28466874701,103079144.38739817,92863.10770673331,321714565.74584424,220765981.19851533,14070630.080757085
Kauai,38403.55638780852,6572.706413712705,13801915.382531142,6676.09085946058,21720628.562374044,15293591.413709525,1891837.473240573
Maui,87813.06169735645,10773.331766538362,20139148.816212125,16359.765766945608,53416592.31900625,37238109.02031857,2616219.849560997
