county,band,category,sales,tax_now,tax_hd2
Honolulu,Under $1M,nonowner,3573.826646637229,4617009.293825434,3841692.3866077373
Honolulu,Under $1M,owner,2985.9997269924256,3306254.048663071,2558502.535519683
Honolulu,$1M-$2M,nonowner,1229.9947900655566,6791837.004512263,5544034.4688659385
Honolulu,$1M-$2M,owner,1466.0790750182573,6050104.395871423,4865812.096501564
Honolulu,$2M-$3M,nonowner,231.2926146336313,3429721.665506128,6172998.798048386
Honolulu,$2M-$3M,owner,236.78630764902397,2889248.9942412605,3082402.7027784656
Honolulu,$3M-$4M,nonowner,80.92847240799586,1732688.2564564645,7204439.90056069
Honolulu,$3M-$4M,owner,57.751120805690356,1022855.6715628713,2431061.5490390207
Honolulu,$4M-$6M,nonowner,52.940665944101546,2214812.7361292113,9722074.99117066
Honolulu,$4M-$6M,owner,29.335696106343438,991374.988267367,2740107.0622481387
Honolulu,$6M-$10M,nonowner,25.567963517153313,2188861.9988888125,10174917.57190969
Honolulu,$6M-$10M,owner,10.13745627273243,704865.7960882105,2258854.6531334114
Honolulu,$10M+,nonowner,11.63559499950702,2309596.2317108023,11065727.92015938
Honolulu,$10M+,owner,2.6558780662607515,348329.07072666514,1322084.5679048973
Hawaii,Under $1M,nonowner,1149.3991724169066,1245169.313167582,1050833.7472797174
Hawaii,Under $1M,owner,1285.605369145851,1103276.507234007,869134.3807001022
Hawaii,$1M-$2M,nonowner,247.8890509019485,1407575.3965686383,1180094.8181998772
Hawaii,$1M-$2M,owner,259.12186617801825,1084534.8387037436,882659.2812433221
Hawaii,$2M-$3M,nonowner,77.05086601925412,1160638.490998954,2206282.3602301013
Hawaii,$2M-$3M,owner,47.721220576443095,591390.5849060059,656012.067626841
Hawaii,$3M-$4M,nonowner,37.9141642355685,812942.8204267045,3389026.6152062314
Hawaii,$3M-$4M,owner,16.083758225842427,285884.5499682088,685230.9700189371
Hawaii,$4M-$6M,nonowner,32.474725540673525,1379467.1389606535,6135498.549742603
Hawaii,$4M-$6M,owner,9.608452859433134,329585.7188934158,925343.6109248913
Hawaii,$6M-$10M,nonowner,22.702332720791667,1980838.0750692443,9305664.66367864
Hawaii,$6M-$10M,owner,5.276336144898153,377506.3218796355,1234739.6304542208
Hawaii,$10M+,nonowner,21.97809525115523,4167808.4091904014,19978087.34064865
Hawaii,$10M+,owner,3.7401888154691716,518804.942990505,1992598.8644529576
Kauai,Under $1M,nonowner,217.87165710357192,368313.4013005688,296449.9227163713
Kauai,Under $1M,owner,216.48872500096607,315345.2976631821,236962.53394101
Kauai,$1M-$2M,nonowner,166.6289749030433,935125.4893572185,775648.8633917028
Kauai,$1M-$2M,owner,154.0015350402565,628945.5632510848,501286.9218397608
Kauai,$2M-$3M,nonowner,51.279528546582945,772683.521413715,1468785.9186181773
Kauai,$2M-$3M,owner,30.8918027841052,383446.4742038286,427587.8369293794
Kauai,$3M-$4M,nonowner,27.920574780324323,603077.2833395862,2547164.75115473
Kauai,$3M-$4M,owner,11.569051608318702,206785.77489895682,501965.02852262714
Kauai,$4M-$6M,nonowner,22.68665288565384,956732.5393417972,4228945.88396869
Kauai,$4M-$6M,owner,7.156160105221138,243140.89121557624,675877.1177224986
Kauai,$6M-$10M,nonowner,13.895524798712199,1209783.4390327672,5676426.409652145
Kauai,$6M-$10M,owner,3.6098419947329647,258769.9065895502,847449.8275269578
Kauai,$10M+,nonowner,6.234297101618192,1102302.0578254058,5277292.855307087
Kauai,$10M+,owner,1.2877318606231818,167649.28627304223,632530.1977013374
Maui,Under $1M,mf,1.25,897.276845084672,672.983287461888
Maui,Under $1M,nonowner,648.5,644753.7884400359,557567.6272301694
Maui,Under $1M,owner,462.5,333539.4582001638,275247.3691639713
Maui,$1M-$2M,mf,1.5,5774.6339241197575,2887.3169620598787
Maui,$1M-$2M,nonowner,445.0,2479461.226938138,2106092.52751169
Maui,$1M-$2M,owner,374.0,1517587.842652865,1236487.1395959374
Maui,$2M-$3M,mf,0.25,3346.2000000000007,1003.8600000000002
Maui,$2M-$3M,nonowner,96.25,1408757.956907259,2698309.6408938253
Maui,$2M-$3M,owner,64.75,768125.1207019521,831829.2093790084
Maui,$3M-$4M,mf,0.75,13964.241674240002,4189.272502272001
Maui,$3M-$4M,nonowner,50.5,1035767.0649539507,4223000.779300946
Maui,$3M-$4M,owner,18.5,311815.0820521985,712459.1584041476
Maui,$4M-$6M,mf,0.25,8516.5703168,2713.2851584
Maui,$4M-$6M,nonowner,51.75,2127597.5438406365,9462053.537511123
Maui,$4M-$6M,owner,9.5,311977.0811590079,865871.6780514737
Maui,$6M-$10M,mf,0.25,17372.399616000002,2895.3999360000003
Maui,$6M-$10M,nonowner,26.75,2229234.815032569,10395080.244626107
Maui,$6M-$10M,owner,7.25,487872.66101184004,1562648.9222880004
Maui,$10M+,nonowner,14.5,3161225.115107505,15169800.470596025
Maui,$10M+,owner,3.0,383973.56444262405,1463423.5468941315
