fy,p05,p10,p25,p50,p75,p90,p95,mean
2028,56.12819158920744,60.976763020003105,68.01718245016201,76.52495446299702,83.43108416638447,88.40324424363516,91.7569301432778,75.42051356211935
2029,59.8997853898316,65.20554383215725,71.6966323506986,80.48906256299668,86.83612541595727,92.45122078728458,96.20857501328821,79.11391597539324
2030,56.7602652398644,62.68082155432371,70.20874604496257,79.88046697148442,86.95350169011138,93.37391567938226,97.54637919236704,78.35664102248944
2031,56.03619563914407,62.0631603991362,70.12188119836114,80.43400578721277,88.02227022414283,95.06222739251037,99.62202075094365,78.79479320500229
