fy,case,maui_now_$M,maui_hd2_$M,state_now_$M,state_change_$M,change_honolulu_$M,change_hawaii_$M,change_kauai_$M,change_maui_$M
2028,static,22.116545595872527,56.43921992134828,119.50188740016063,118.69788231220905,34.387151051997684,34.0457837914494,15.942273143286195,34.32267432547576
2028,behavioral,22.116545595872527,44.898771041072145,119.50188740016063,79.07882217404688,23.6380114290647,21.78486910373645,10.873716196046114,22.782225445199618
2028,behavioral_low,22.116545595872527,38.17636640723973,119.50188740016063,55.99543558643738,17.318306203118063,14.708741954091595,7.908566617860517,16.059820811367207
2028,behavioral_high,22.116545595872527,50.480378617654786,119.50188740016063,98.12178146558506,28.67829566013366,27.795905099834457,13.283747683834697,28.36383302178226
2029,static,23.483695418827295,59.15065329698665,126.38634726975882,123.01882147679932,35.4723137317113,35.305776992330465,16.573772874598205,35.66695787815935
2029,behavioral,23.483695418827295,46.95497367939812,126.38634726975882,81.09866662629265,24.059117380405876,22.37403241475706,11.194238570558891,23.471278260570827
2029,behavioral_low,23.483695418827295,39.828392976041435,126.38634726975882,56.5911778357408,17.320669001938445,14.892159984061186,8.033651292527031,16.34469755721414
2029,behavioral_high,23.483695418827295,52.92037253752227,126.38634726975882,101.49910798447976,29.487065128291473,28.78468373296775,13.790682004525562,29.436677118694973
2030,static,24.775431042840772,61.973104588314136,133.62914661870266,127.92530882147553,36.64114783256946,36.79482084098693,17.291666602445776,37.197673545473364
2030,behavioral,24.775431042840772,49.117577460411184,133.62914661870266,83.70406212598128,24.560703305149968,23.20091743710895,11.600294966151958,24.34214641757041
2030,behavioral_low,24.775431042840772,41.59034617580415,133.62914661870266,57.79757259268521,17.41107176319698,15.323181434948266,8.248404261576589,16.814915132963378
2030,behavioral_high,24.775431042840772,55.45148800811441,133.62914661870266,105.39257252414757,30.363882224896205,29.976678074147994,14.375955259829736,30.676056965273638
2031,static,26.101838519150363,64.91710111458886,140.90428336378835,133.0725551556128,37.839684662250264,38.357077592186194,18.060530305737824,38.8152625954385
2031,behavioral,26.101838519150363,51.35592875589258,140.90428336378835,86.38683784715923,25.04414786556774,24.05193931514993,12.03666042969933,25.254090236742215
2031,behavioral_low,26.101838519150363,43.3971023600838,140.90428336378835,58.97017924600143,17.450447208328043,15.74507134405565,8.479396852684305,17.295263840933437
2031,behavioral_high,26.101838519150363,58.091217747770436,140.90428336378835,109.47983043498044,31.255368316243423,31.22954724045544,15.005535649661503,31.989379228620074
