county,nonowner_above_2m_$B,owner_above_2m_$B,home_sales_$B,m_nonowner,m_owner,m_cut,method,homes,homes_2m_plus,homes_2m_plus_not_owner_occupied,change_static_fy2028_M,change_behavioral_fy2028_M,tiers_static_fy2028_M,tiers_behavioral_fy2028_M
Honolulu,5.797537122174588,6.489055619239241,9.527400513,0.595665431578185,3.4243166301303494,4.5916939582661636,housing stock,268164.0,14786.0,5553.0,34.387151051997684,23.003922466910616,25.792982582665108,17.294145103780654
Hawaii,7.802715,1.257544625963624,2.763153937,0.8016865610363249,0.6636144345952052,1.331691390633812,housing stock,71702.0,3471.0,2346.0,34.0457837914494,21.657132751068044,26.553233681709212,17.114537847032985
Kauai,4.3394684346518595,0.6299416865550962,0.9787812733333334,0.44585679806346035,0.332424303297291,0.4717198624216933,housing stock,24513.0,3272.0,1976.0,15.942273143286195,10.603147574353098,14.908406917272307,9.675021815361347
Maui,9.732874890547722,1.8949928759923786,2.0749206283333335,1.0,1.0,1.0,every sale,56980.0,6461.0,4271.0,34.32267432547576,22.451530413259785,34.32267430837333,22.451530396271547
