price,owner_now,owner_hd2,nonowner_now,nonowner_hd2
800000.0,1600.0,1200.0,2000.0,1600.0
1500000.0,4500.0,4050.0,6000.0,5550.0
2000000.0,10000.0,6300.0,12000.0,8800.0
2500000.0,12500.0,16300.0,15000.0,33800.0
3000000.0,15000.0,26300.0,18000.0,58800.0
3500000.0,17500.0,46300.0,21000.0,93800.0
3999000.0,19995.0,66260.0,23994.0,128730.0
4000000.0,28000.0,66300.0,34000.0,128800.0
5000000.0,35000.0,106300.0,42500.0,198800.0
10000000.0,100000.0,346300.0,125000.0,588800.0
