county,group,value_lo,owner_occupied,improved,condo,count,sum_value
Hawaii,large_other,30000000,1,1,0,2,152671700
Hawaii,multifamily,300000,0,1,0,1,391900
Hawaii,multifamily,600000,0,1,0,1,755500
Hawaii,multifamily,800000,0,1,0,3,2644000
Hawaii,multifamily,1000000,0,1,0,3,3246800
Hawaii,multifamily,1000000,1,1,0,1,1140500
Hawaii,multifamily,1250000,0,1,0,6,8122800
Hawaii,multifamily,1250000,1,1,0,1,1317000
Hawaii,multifamily,1500000,0,1,0,2,3215700
Hawaii,multifamily,1750000,0,1,0,2,3520400
Hawaii,multifamily,2000000,0,1,0,1,2142800
Hawaii,multifamily,2000000,1,1,0,2,4211700
Hawaii,multifamily,2250000,1,1,0,2,4664800
Hawaii,multifamily,2500000,1,1,0,1,2646100
Hawaii,multifamily,2750000,1,1,0,1,2905500
Hawaii,multifamily,3000000,1,1,0,2,6254200
Hawaii,multifamily,3250000,0,1,0,1,3318000
Hawaii,multifamily,4500000,1,1,0,1,4728100
Hawaii,multifamily,4750000,1,1,0,1,4829100
Hawaii,multifamily,6000000,0,1,0,1,6421400
Hawaii,multifamily,6500000,1,1,0,1,6539300
Hawaii,multifamily,8000000,1,1,0,2,16257600
Hawaii,multifamily,15000000,0,1,0,2,33100900
Hawaii,multifamily,20000000,0,1,0,1,28901200
Hawaii,multifamily,30000000,0,1,0,2,112650800
Hawaii,multifamily,30000000,1,1,0,1,157710300
Hawaii,residential,0,0,0,0,20721,889055300
Hawaii,residential,0,0,1,0,4091,747147000
Hawaii,residential,0,1,1,0,6477,1452383000
Hawaii,residential,300000,0,0,0,730,292738700
Hawaii,residential,300000,0,1,0,5240,2259269000
Hawaii,residential,300000,1,1,0,9878,4214484500
Hawaii,residential,600000,0,0,0,90,60879500
Hawaii,residential,600000,0,1,0,1559,1081247800
Hawaii,residential,600000,1,1,0,2791,1922907900
Hawaii,residential,800000,0,0,0,37,33856100
Hawaii,residential,800000,0,1,0,1052,938271900
Hawaii,residential,800000,1,1,0,1333,1180133400
Hawaii,residential,1000000,0,0,0,56,64691700
Hawaii,residential,1000000,0,1,0,642,711132800
Hawaii,residential,1000000,1,1,0,689,764765600
Hawaii,residential,1250000,0,0,0,54,73451800
Hawaii,residential,1250000,0,1,0,282,386185800
Hawaii,residential,1250000,1,1,0,253,345221900
Hawaii,residential,1500000,0,0,0,26,41971600
Hawaii,residential,1500000,0,1,0,161,259370500
Hawaii,residential,1500000,1,1,0,129,207958800
Hawaii,residential,1750000,0,0,0,22,41569100
Hawaii,residential,1750000,0,1,0,110,205183200
Hawaii,residential,1750000,1,1,0,68,126773400
Hawaii,residential,2000000,0,0,0,22,47567300
Hawaii,residential,2000000,0,1,0,103,217521700
Hawaii,residential,2000000,1,1,0,29,61549800
Hawaii,residential,2250000,0,0,0,17,39909800
Hawaii,residential,2250000,0,1,0,72,170865500
Hawaii,residential,2250000,1,1,0,22,52231300
Hawaii,residential,2500000,0,0,0,22,58087600
Hawaii,residential,2500000,0,1,0,51,133308600
Hawaii,residential,2500000,1,1,0,24,62879200
Hawaii,residential,2750000,0,0,0,24,67651500
Hawaii,residential,2750000,0,1,0,38,109680200
Hawaii,residential,2750000,1,1,0,19,54389700
Hawaii,residential,3000000,0,0,0,15,47109000
Hawaii,residential,3000000,0,1,0,31,96298800
Hawaii,residential,3000000,1,1,0,16,49856000
Hawaii,residential,3250000,0,0,0,17,57847200
Hawaii,residential,3250000,0,1,0,37,124405700
Hawaii,residential,3250000,1,1,0,7,23757400
Hawaii,residential,3500000,0,0,0,17,60863500
Hawaii,residential,3500000,0,1,0,39,140874600
Hawaii,residential,3500000,1,1,0,3,11000500
Hawaii,residential,3750000,0,0,0,6,23535500
Hawaii,residential,3750000,0,1,0,41,158913800
Hawaii,residential,3750000,1,1,0,2,7613000
Hawaii,residential,4000000,0,0,0,9,37241600
Hawaii,residential,4000000,0,1,0,24,98386500
Hawaii,residential,4000000,1,1,0,6,24841000
Hawaii,residential,4250000,0,0,0,12,51994500
Hawaii,residential,4250000,0,1,0,23,100235100
Hawaii,residential,4250000,1,1,0,2,8741800
Hawaii,residential,4500000,0,0,0,6,27518400
Hawaii,residential,4500000,0,1,0,21,97764700
Hawaii,residential,4500000,1,1,0,1,4522800
Hawaii,residential,4750000,0,0,0,10,48643900
Hawaii,residential,4750000,0,1,0,11,54031900
Hawaii,residential,4750000,1,1,0,1,4778500
Hawaii,residential,5000000,0,0,0,4,20378400
Hawaii,residential,5000000,0,1,0,17,86975500
Hawaii,residential,5000000,1,1,0,3,15504600
Hawaii,residential,5250000,0,0,0,8,43015400
Hawaii,residential,5250000,0,1,0,23,123968700
Hawaii,residential,5250000,1,1,0,1,5453000
Hawaii,residential,5500000,0,0,0,1,5634800
Hawaii,residential,5500000,0,1,0,17,95939600
Hawaii,residential,5500000,1,1,0,5,28073000
Hawaii,residential,5750000,0,0,0,2,11735900
Hawaii,residential,5750000,0,1,0,9,53004100
Hawaii,residential,5750000,1,1,0,2,11821400
Hawaii,residential,6000000,0,0,0,16,99921200
Hawaii,residential,6000000,0,1,0,30,187104900
Hawaii,residential,6000000,1,1,0,12,74290500
Hawaii,residential,6500000,0,0,0,8,54082900
Hawaii,residential,6500000,0,1,0,28,188650300
Hawaii,residential,6500000,1,1,0,6,41032400
Hawaii,residential,7000000,0,0,0,2,14374300
Hawaii,residential,7000000,0,1,0,38,275921800
Hawaii,residential,7000000,1,1,0,2,14544100
Hawaii,residential,7500000,0,0,0,22,169801100
Hawaii,residential,7500000,0,1,0,24,186391400
Hawaii,residential,7500000,1,1,0,2,15419000
Hawaii,residential,8000000,0,0,0,3,24764000
Hawaii,residential,8000000,0,1,0,30,246867100
Hawaii,residential,8000000,1,1,0,7,58465300
Hawaii,residential,8500000,0,0,0,3,25688400
Hawaii,residential,8500000,0,1,0,41,358433200
Hawaii,residential,8500000,1,1,0,3,26546100
Hawaii,residential,9000000,0,0,0,1,9400000
Hawaii,residential,9000000,0,1,0,29,269941600
Hawaii,residential,9000000,1,1,0,4,37322700
Hawaii,residential,9500000,0,0,0,3,29276600
Hawaii,residential,9500000,0,1,0,18,175327300
Hawaii,residential,9500000,1,1,0,2,19281700
Hawaii,residential,10000000,0,0,0,8,92945700
Hawaii,residential,10000000,0,1,0,102,1146739700
Hawaii,residential,10000000,1,1,0,8,85306900
Hawaii,residential,12500000,0,0,0,3,41040600
Hawaii,residential,12500000,0,1,0,49,666686300
Hawaii,residential,12500000,1,1,0,5,67005200
Hawaii,residential,15000000,0,0,0,4,67533900
Hawaii,residential,15000000,0,1,0,89,1506435000
Hawaii,residential,15000000,1,1,0,5,80980700
