county,group,value_lo,owner_occupied,improved,condo,count,sum_value
Honolulu,residential,600000,1,1,0,6181,4514036200
Honolulu,residential,600000,1,1,1,12042,8298342300
Honolulu,residential,800000,0,0,0,244,217581500
Honolulu,residential,800000,0,0,1,101,88729300
Honolulu,residential,800000,0,1,0,10248,9286937600
Honolulu,residential,800000,0,1,1,6363,5647801500
Honolulu,residential,800000,1,1,0,21310,19387325200
Honolulu,residential,800000,1,1,1,6626,5901431500
Honolulu,residential,1000000,0,0,0,240,269371700
Honolulu,residential,1000000,0,0,1,32,34640100
Honolulu,residential,1000000,0,1,0,10759,12021154000
Honolulu,residential,1000000,0,1,1,3709,4121772000
Honolulu,residential,1000000,1,1,0,27572,30873475200
Honolulu,residential,1000000,1,1,1,3728,4135768500
Honolulu,residential,1250000,0,0,0,154,210032600
Honolulu,residential,1250000,0,0,1,8,10877100
Honolulu,residential,1250000,0,1,0,5840,7945522600
Honolulu,residential,1250000,0,1,1,1762,2405777300
Honolulu,residential,1250000,1,1,0,16438,22400836000
Honolulu,residential,1250000,1,1,1,1854,2529873900
Honolulu,residential,1500000,0,0,0,96,155167900
Honolulu,residential,1500000,0,0,1,9,14640700
Honolulu,residential,1500000,0,1,0,3048,4911356800
Honolulu,residential,1500000,0,1,1,969,1562996400
Honolulu,residential,1500000,1,0,0,1,1600100
Honolulu,residential,1500000,1,1,0,9355,15077399500
Honolulu,residential,1500000,1,1,1,825,1328079300
Honolulu,residential,1750000,0,0,0,56,103675000
Honolulu,residential,1750000,0,0,1,5,9289700
Honolulu,residential,1750000,0,1,0,1727,3215093200
Honolulu,residential,1750000,0,1,1,589,1094440400
Honolulu,residential,1750000,1,1,0,5202,9683144900
Honolulu,residential,1750000,1,1,1,485,903582500
Honolulu,residential,2000000,0,0,0,42,89351400
Honolulu,residential,2000000,0,0,1,2,4133900
Honolulu,residential,2000000,0,1,0,990,2090589100
Honolulu,residential,2000000,0,1,1,275,578830300
Honolulu,residential,2000000,1,1,0,2758,5826978800
Honolulu,residential,2000000,1,1,1,200,422331100
Honolulu,residential,2250000,0,0,0,24,56552900
Honolulu,residential,2250000,0,0,1,4,9540000
Honolulu,residential,2250000,0,1,0,663,1566783500
Honolulu,residential,2250000,0,1,1,253,599088900
Honolulu,residential,2250000,1,0,0,1,2346300
Honolulu,residential,2250000,1,1,0,1677,3968817900
Honolulu,residential,2250000,1,1,1,149,352160700
Honolulu,residential,2500000,0,0,0,26,67871800
Honolulu,residential,2500000,0,0,1,2,5161200
Honolulu,residential,2500000,0,1,0,434,1136268400
Honolulu,residential,2500000,0,1,1,179,467282400
Honolulu,residential,2500000,1,1,0,1098,2875297600
Honolulu,residential,2500000,1,1,1,113,294811200
Honolulu,residential,2750000,0,0,0,13,37432900
Honolulu,residential,2750000,0,0,1,2,5811900
Honolulu,residential,2750000,0,1,0,372,1066733600
Honolulu,residential,2750000,0,1,1,120,345241000
Honolulu,residential,2750000,1,1,0,768,2201735400
Honolulu,residential,2750000,1,1,1,76,217837600
Honolulu,residential,3000000,0,0,0,12,37518200
Honolulu,residential,3000000,0,1,0,295,920709200
Honolulu,residential,3000000,0,1,1,81,251658100
Honolulu,residential,3000000,1,1,0,563,1753664700
Honolulu,residential,3000000,1,1,1,30,92674800
Honolulu,residential,3250000,0,0,0,15,50382400
Honolulu,residential,3250000,0,1,0,198,666172500
Honolulu,residential,3250000,0,1,1,67,224176700
Honolulu,residential,3250000,1,0,0,1,3456800
Honolulu,residential,3250000,1,1,0,422,1419770400
Honolulu,residential,3250000,1,1,1,46,155033300
Honolulu,residential,3500000,0,0,0,10,36316100
Honolulu,residential,3500000,0,1,0,174,628118500
Honolulu,residential,3500000,0,1,1,44,159493000
Honolulu,residential,3500000,1,1,0,299,1081895400
Honolulu,residential,3500000,1,1,1,26,93723900
Honolulu,residential,3750000,0,0,0,10,38892700
Honolulu,residential,3750000,0,1,0,137,530428200
Honolulu,residential,3750000,0,1,1,49,190155700
Honolulu,residential,3750000,1,0,0,1,3916200
Honolulu,residential,3750000,1,1,0,196,756756600
Honolulu,residential,3750000,1,1,1,16,62010800
Honolulu,residential,4000000,0,0,0,6,24888200
