source,document,url,page,period,county,type,band_lo,band_hi,count,basis
list_sothebys,Oʻahu Quarterly Luxury Market Report 2024 Q3,https://listsothebysrealty.com/2024/10/24/luxury-market-report-2024-q3,,2024Q3,Honolulu,house,2000000,3000000,50,text
list_sothebys,Oʻahu Quarterly Luxury Market Report 2024 Q4,https://listsothebysrealty.com/2025/01/28/luxury-market-report-2024-q4,,2024Q4,Honolulu,house,2000000,3000000,39,text
list_sothebys,Oʻahu Quarterly Luxury Market Report 2025 Q1,https://listsothebysrealty.com/2025/04/23/luxury-market-report-2025-q1,,2025Q1,Honolulu,house,2000000,3000000,48,text
list_sothebys,Oʻahu Quarterly Luxury Market Report 2025 Q2,https://listsothebysrealty.com/2025/07/30/luxury-market-report-2025-q2,,2025Q2,Honolulu,house,2000000,3000000,57,text
list_sothebys,Oʻahu Quarterly Luxury Market Report 2025 Q3,https://listsothebysrealty.com/2025/10/23/luxury-market-report-2025-q3,,2025Q3,Honolulu,house,2000000,3000000,25,text
list_sothebys,Oʻahu Quarterly Luxury Market Report 2025 Q4,https://listsothebysrealty.com/2026/02/06/luxury-market-report-2025-q4,,2025Q4,Honolulu,house,2000000,3000000,60,text
list_sothebys,Oʻahu Quarterly Luxury Market Report 2026 Q1,https://listsothebysrealty.com/2026/04/29/luxury-market-report-2026-q1,,2026Q1,Honolulu,house,2000000,3000000,47,text
list_sothebys,Oʻahu Quarterly Luxury Market Report 2026 Q2,https://listsothebysrealty.com/2026/07/27/luxury-market-report-2026-q2,,2026Q2,Honolulu,house,2000000,3000000,67,text
list_sothebys,Oʻahu Quarterly Luxury Market Report 2022 Q3,https://listsothebysrealty.com/2022/11/07/luxury-market-report-2022-q3,,2022Q3,Honolulu,house,3000000,5000000,21,text
list_sothebys,Oʻahu Quarterly Luxury Market Report 2022 Q4,https://listsothebysrealty.com/2023/02/01/luxury-market-report-2022-q4,,2022Q4,Honolulu,house,3000000,5000000,18,text
list_sothebys,Oʻahu Quarterly Luxury Market Report 2023 Q1,https://listsothebysrealty.com/2023/05/02/luxury-market-report-2023-q1,,2023Q1,Honolulu,house,3000000,5000000,14,text
list_sothebys,Oʻahu Quarterly Luxury Market Report 2023 Q2,https://listsothebysrealty.com/2023/07/26/luxury-market-report-2023-q2,,2023Q2,Honolulu,house,3000000,5000000,14,text
list_sothebys,Oʻahu Quarterly Luxury Market Report 2023 Q3,https://listsothebysrealty.com/2023/10/26/luxury-market-report-2023-q3,,2023Q3,Honolulu,house,3000000,5000000,18,text
list_sothebys,Oʻahu Quarterly Luxury Market Report 2023 Q4,https://listsothebysrealty.com/2024/02/02/luxury-market-report-2023-q4,,2023Q4,Honolulu,house,3000000,5000000,14,text
list_sothebys,Oʻahu Quarterly Luxury Market Report 2024 Q1,https://listsothebysrealty.com/2024/04/24/luxury-market-report-2024-q1,,2024Q1,Honolulu,house,3000000,5000000,10,text
list_sothebys,Oʻahu Quarterly Luxury Market Report 2024 Q2,https://listsothebysrealty.com/2024/08/01/luxury-market-report-2024-q2,,2024Q2,Honolulu,house,3000000,5000000,20,text
