group,households,income_lo,income_hi,total_loss_$M,avg_loss_per_household,pct_households_losing,avg_loss_per_losing_household
Single parent,63854.0,0.0,1164906.3,36.68904823387486,574.5771327383541,60.529224721693176,949.2557279234908
Couple with children,110285.0,0.0,2065847.6,29.208285532025183,264.84368256812064,30.96470069348085,855.3083887030094
"Single, no children",185239.0,0.0,1336900.6537499998,7.877217491470996,42.52461680030121,34.137422711053574,124.56891418030773
"Couple, no children",133773.0,0.0,1484985.87,5.480011668967653,40.96500541191162,23.32188763136835,175.650470748401
