tax_year,eitc_expanded_$M,eitc_reverted_$M,food_expanded_$M,food_reverted_$M,eitc_claimants,food_claimants_expanded,food_claimants_reverted,eitc_loss_$M,food_loss_$M,total_loss_$M
2022,77.17596498503353,38.587982492516765,67.48953420039851,24.579496613725468,84847.17462734054,256345.83733686295,204849.58312882378,38.587982492516765,42.91003758667304,81.49802007918981
2023,77.054,38.527,63.956999999999994,23.024867606960218,84516.11755969696,245899.96758683427,193432.84555612027,38.527,40.93213239303978,79.45913239303978
2027,86.90971511881654,43.45485755940827,54.16047987066022,19.273217651911725,84436.06861553497,209789.3629973723,164279.285189456,43.45485755940827,34.88726221874849,78.34211977815676
2028,88.32857258645473,44.16428629322736,52.60419810793429,18.816809002256324,84820.85815116746,201506.567175274,159917.2540744196,44.16428629322736,33.78738910567796,77.95167539890532
2029,88.52945878811882,44.26472939405941,50.31421633441942,18.036056344589753,84744.33711447284,193628.95004608418,151380.63894626327,44.26472939405941,32.27815998982967,76.54288938388908
2030,89.31480307349382,44.65740153674691,48.68359510110786,17.009387059598836,84822.10186467486,189978.60669646485,141142.6922168305,44.65740153674691,31.674208041509026,76.33160957825594
2031,91.64282373813832,45.82141186906916,47.12988302607101,16.389905695913566,84518.53892275268,184830.33274487115,136607.63719201824,45.82141186906916,30.739977330157448,76.56138919922661
