hash_seed,persons_into_poverty,children_into_poverty,poverty_rate_renewed,poverty_rate_expired
1,3527.0,1287.0,0.1070477645890728,0.10963409349062
2,3672.0,1316.0,0.107036765174975,0.109729421746135
3,3565.0,1296.0,0.1084850213645286,0.1110992154484571
4,3767.0,1383.0,0.1097712195197069,0.1125335390468201
