tax_year,income_bracket,agi_low,agi_high,agi_median,filer_count,avg_act46_tax,avg_cd1_tax,avg_bracket_change,avg_credit_loss,avg_total_change,total_act46_$M,total_cd1_$M,total_bracket_$M,total_credit_loss_$M,total_change_$M,pct_pay_more,pct_pay_less,pct_no_change,pct_credit_claimant,avg_credit_loss_per_claimant,household_count,avg_per_hh_total_change,avg_per_hh_bracket_change,avg_per_hh_credit_loss,cor_scale_factor,total_change_cor_$M,total_bracket_cor_$M,avg_total_change_cor,avg_per_hh_total_change_cor,avg_per_hh_bracket_change_cor
2027,Under $10K,-18601.44052278071,9998.138383456415,3056.2295566359307,102181.22794863692,0.2501005683914778,0.2501005683914778,0.0,16.629929237843733,16.629929237843733,0.02555558318889325,0.02555558318889325,0.0,1.6992665902218125,1.6992665902218125,0.5617516759717667,0.0,99.43824832402824,0.5617516759717667,2960.3702043391045,102181.22794863692,16.629929237843733,0.0,16.629929237843733,1.0973274189649231,1.8646518215814272,0.0,18.248477328132374,18.248477328132374,0.0
2027,$10K–$30K,10008.32985515323,29998.192669165554,19463.30440112547,105334.9180167708,134.78129705597107,130.2443433931174,-4.536953662853697,8.972932990981237,4.435979328127541,14.197176875584743,13.719277233462162,-0.4778996421225821,0.9451631609749866,0.4672635188524045,0.8670171330431911,20.090371282048437,79.04261158490837,0.8670171330431911,1034.919916690302,105334.9180167708,4.435979328127541,-4.536953662853697,8.972932990981237,1.0973274189649231,0.5127410711187768,-0.5244123808146335,4.867721746715948,4.867721746715948,-4.978523652822701
2027,$30K–$60K,30008.66964686051,59986.25113836615,43969.86211034123,155911.56119295178,1020.2762025081901,972.2608799288778,-48.01532257931229,8.55803146313984,-39.45729111617244,159.07285558106813,151.58671167654435,-7.486143904523767,1.334296046156534,-6.1518478583672325,1.0763282158563034,84.69024540550392,14.233426378639777,1.0763282158563034,795.1135478067214,155911.56119295178,-39.45729111617244,-48.01532257931229,8.55803146313984,1.0973274189649231,-6.750591332287005,-8.214750968751057,-43.297567419857096,-43.297567419857096,-52.68852999672495
2027,$60K–$100K,60013.28655190858,99982.31585173894,77832.65922248756,121783.43997967041,2695.247944600502,2610.575735612687,-84.67220898781493,22.42113496355145,-62.25107402426349,328.2365662915853,317.9248934103716,-10.311672881213669,2.7305229441097576,-7.581149937103913,1.8358960260852148,98.16410397391478,1.4210854715202004e-14,1.8358960260852148,1221.2638757850193,121783.43997967041,-62.25107402426349,-84.67220898781493,22.42113496355145,1.0973274189649231,-8.319003693268327,-11.315281387952787,-68.30981038683943,-68.30981038683943,-92.91313654665753
2027,$100K–$175K,100016.44107176294,174987.40637312154,131399.49566533955,99059.35691029092,5216.770733110518,5117.730016600432,-99.0407165100871,67.96270732583041,-31.078009184256683,516.7699539703549,506.9590442849312,-9.810909685423661,6.732342081579078,-3.078567603844582,3.3271698748489684,96.67283012515104,0.0,3.3271698748489684,2042.6581714261126,99059.35691029092,-31.078009184256683,-99.0407165100871,67.96270732583041,1.0973274189649231,-3.3781966428358032,-10.765780202803912,-34.10275160472856,-34.10275160472856,-108.68009382045052
2027,$175K–$350K,175029.8269860244,349843.16059801547,231516.26833995458,47583.68590079843,10643.304842958956,10549.45808446203,-93.84675849692528,162.73401541691015,68.88725691998486,506.44767459380574,501.98209991467996,-4.465574679125778,7.743484274973942,3.277909595848163,9.875559252941231,90.12444074705877,0.0,4.819101948355065,3376.8535540622297,47583.68590079843,68.88725691998486,-93.84675849692528,162.73401541691015,1.0973274189649231,3.596940076412419,-4.900197536840205,75.59187583558054,75.59187583558054,-102.98062127965548
2027,$350K–$500K,350112.63506516215,499441.16851381987,404078.5388572473,6061.052926997056,22257.136101598815,22495.030751522085,237.8946499232721,322.7696064470652,560.6642563703373,134.90167991516734,136.3435719794017,1.4418920642343882,1.9563236679016724,3.3982157321360607,35.45904802842933,64.54095197157068,0.0,5.525099034463455,5841.879112641273,6061.052926997056,560.6642563703373,237.8946499232721,322.7696064470652,1.0973274189649231,3.72895529843086,1.5822276972723264,615.2322613487502,615.2322613487502,261.04832218586813
2027,$500K–$1M,515238.3022100798,997941.5776202531,648062.2121929466,4804.122548305907,49894.54898982379,51955.896906827154,2061.347917003367,322.76960644706526,2384.117523450432,239.69952783956617,249.60249584754544,9.902968007979288,1.55062474424017,11.453592752219457,100.0,0.0,0.0,5.525099034463455,5841.879112641273,4804.122548305907,2384.117523450432,2061.347917003367,322.76960644706526,1.0973274189649231,12.568341372668327,10.86679832428812,2616.1575285169074,2616.1575285169074,2261.9735893540255
2027,$1M+,1006106.2534342275,250339117.46324295,4167311.0132325506,2317.3696497495853,388038.4347285876,431752.48406929144,43714.04934070392,322.7696064470653,44036.818947150976,899.2284915763644,1000.5301027861673,101.30161120980311,0.7479764898420472,102.04958769964516,100.0,0.0,0.0,5.525099034463456,5841.879112641274,2317.3696497495853,44036.818947150976,43714.04934070392,322.7696064470653,1.0973274189649231,111.98181067688618,111.16103556584137,48322.8088747028,48322.8088747028,47968.62493553993
2028,Under $10K,-19185.96188300797,9974.759973742573,2995.9488092813285,99713.75166272347,0.0,0.0,0.0,24.52281767160597,24.52281767160597,0.0,0.0,0.0,2.4452621513767645,2.4452621513767645,0.5617516759717667,0.0,99.43824832402824,0.5617516759717667,4365.419583160883,99713.75166272347,24.52281767160597,0.0,24.52281767160597,1.0581046452243001,2.5873432411629205,0.0,25.947707292314835,25.947707292314835,0.0
