tax_year,A_act46_banked_by_2026,B_act46_remaining_phaseins,C_act24_increment,total_vs_pre_act46,memo_vs_frozen_2026,tieout_vs_frozen_published_basis,tieout_published,tieout_diff
2027,-533.1235143056645,-227.7775670337513,76.76127902810437,-684.1398023113113,-151.01628800564697,-183.4403169761855,-183.4,-0.04031697618549401
2028,-544.0161730426422,-247.81451517901178,92.24604208843631,-699.5846461332177,-155.56847309057542,-204.53187823736786,-204.5,-0.031878237367862994
2029,-553.4328373098554,-492.0172907536857,121.42383553744544,-924.0262925260956,-370.5934552162403,-437.8740315723539,-437.9,0.02596842764609164
2030,-564.829260665833,-517.5746837837745,143.3269411149791,-939.0770033346282,-374.2477426687953,-462.01136216425095,-462.0,-0.011362164250954265
2031,-574.782430852414,-554.8922007341808,170.72597214301285,-958.948659443582,-384.166228591168,-494.0609480000818,-494.1,0.03905199991822883
