tax_year,quintile,household_count,avg_per_hh_act46_tax,avg_per_hh_cd1_tax,avg_per_hh_bracket_change,avg_per_hh_credit_loss,avg_per_hh_total_change,total_act46_$M,total_cd1_$M,total_bracket_$M,total_credit_loss_$M,total_change_$M,pct_pay_more,pct_pay_less,pct_no_change,pct_credit_claimant,avg_credit_loss_per_claimant,filer_count,avg_total_change,avg_bracket_change,avg_credit_loss,cor_scale_factor,total_change_cor_$M,total_bracket_cor_$M,avg_total_change_cor,avg_per_hh_total_change_cor,avg_per_hh_bracket_change_cor
2027,Q1 (bottom 20%),81005.0,121.62393970702989,116.39912177254867,-5.224817934481195,14.17689028720504,8.952072352723846,9.852147235967957,9.428910859185304,-0.4232363767826492,1.1483989977150444,0.7251626209323951,0.8689936707800399,18.44164994582289,80.68935638339707,0.8689936707800399,1631.4146769883096,93517.37586734569,8.069345739582955,-4.4059071074391944,12.475252847022151,1.0973274189649231,0.7957408271575841,-0.46442888094697016,8.854714333152163,9.823354449201705,-5.733335978605891
2027,Q2,89419.0,1146.5156538222495,1094.354085336594,-52.16156848565555,14.7595789701684,-37.40198951548715,102.52028324913172,97.85604795671289,-4.664235292418834,1.319786791933488,-3.344448500485346,1.509862293536692,88.39630911337179,10.093828593091516,1.509862293536692,977.5447094314576,106849.59873062756,-30.467180322937118,-42.99533443683908,12.52815411390196,1.0973274189649231,-3.6699550408986923,-5.118193274875062,-33.43247234690748,-41.04222861918263,-57.23831931552648
2027,Q3,100606.0,2439.982442655258,2361.772434628127,-78.21000802713141,29.46101863300524,-48.748989394126156,245.4768736257749,237.60847755819734,-7.8683960675775815,2.963955240592125,-4.904440826985456,2.471335516528708,97.31809659759413,0.21056788587715403,2.471335516528708,1192.1092233719373,120765.20824996574,-39.862965253249655,-64.38550304801501,24.52253779476537,1.0973274189649231,-5.381777394142144,-8.634206748228658,-43.74272477363686,-53.49360270900487,-85.82198624563803
2027,Q4,106687.0,4330.844019008279,4239.298450187274,-91.54556882100482,50.19210862485685,-41.353460196147964,462.0447558559363,452.27803375512974,-9.766722100806541,5.354845492860103,-4.4118766079464375,3.6110471331897287,96.37898571154994,0.009967155260326876,3.6110471331897287,1389.9599416339079,137107.8205630326,-32.15842191857098,-70.2517983463998,38.09337642782881,1.0973274189649231,-4.841273170989584,-10.717291954625715,-35.288318121890505,-45.37828574230773,-100.45546275202896
2027,Q5 (top 20%),116330.0,18685.07662087066,19609.64326945409,924.5666485834282,140.50871931472108,1065.0753678981496,2173.634963305884,2281.189801535594,107.5548382297102,16.345379317881502,123.90021754759174,21.928639993742856,78.05768329368786,0.013676712569292704,6.1421964379041025,2287.59729089138,186796.7316632002,627.7319835377327,548.7672740606689,78.9647094770639,1.0973274189649231,135.95910593069132,118.02287303179773,688.8275172971919,1168.7364044587923,1014.5523341511024
2028,Q1 (bottom 20%),81005.0,118.45781072445486,113.23439312247145,-5.2234176019833995,20.463691340448907,15.240273738465508,9.595674957734465,9.1725520148858,-0.4231229428486653,1.6576613170330636,1.2345383741843985,0.8757783513492576,18.10562636362883,81.01859528502192,0.8757783513492576,2336.629046484394,93517.37586734569,13.612878241545348,-4.404365384210094,18.01724362575544,1.0581046452243001,1.3062707884321674,-0.4477083513291488,14.403849702251934,16.125804437160266,-5.52692242860501
2028,Q2,89419.0,1169.9693212427587,1117.7011946070074,-52.26812663575105,21.428907732398805,-30.839218903352247,104.61748673620623,99.943723120564,-4.6737636156422235,1.916151500523369,-2.757612115118855,1.5472649847387119,88.16160409725343,10.291130918007852,1.5472649847387119,1384.9539635266499,106849.59873062756,-24.947141312376743,-43.10678365883666,18.159642346459922,1.0581046452243001,-2.9178421887340678,-4.945330992391357,-26.396686107692876,-32.63112077672606,-55.30514759046016
2028,Q3,100606.0,2543.357881794779,2465.1353648235495,-78.2225169712297,43.275200725434736,-34.947316245794966,255.87706305584555,248.007408513438,-7.869654542407535,4.353744844183088,-3.5159096982244487,2.5885039664914617,97.2009404151278,0.210555618380738,2.5885039664914617,1671.8228477003756,120765.20824996574,-28.341294492743444,-64.401462130533,36.06016763778957,1.0581046452243001,-3.7202003838804565,-8.326918027631926,-29.988055354441713,-36.9779176577983,-82.76760856839479
2028,Q4,106687.0,4504.45853676831,4412.877777899827,-91.58075886848302,69.42400659000816,-22.15675227847485,480.5671679122007,470.7966914907989,-9.770476421401847,7.406638991068201,-2.3638374303336467,3.667539600180889,96.3224932445588,0.009967155260312666,3.667539600180889,1892.9313424886823,137107.8205630326,-17.625022469797035,-70.28905636744679,52.66403389764975,1.0581046452243001,-2.5011873655911043,-10.338186487539792,-18.64911814747491,-23.444162508938337,-96.9020263719084
2028,Q5 (top 20%),116330.0,19525.634344070644,20521.08789211259,995.4535480419511,226.35121420796054,1221.8047622499118,2271.417043245738,2387.2181544894574,115.80111124372017,26.33143674881205,142.13254799253227,22.60997873268591,77.37638654088178,0.013634726432314892,6.287605923954189,3599.9586638472306,186796.7316632002,715.8928580968726,588.2714624674361,127.62139562943659,1.0581046452243001,150.39110926846416,122.52969372911625,757.4895586352017,1292.7972944938033,1053.2940232881995
