weighted_persons,weighted_filers,poverty_rate_baseline,persons_in_poverty_baseline,poverty_gap_baseline_$,senate_district,poverty_rate_no_eitc,persons_lifted_no_eitc,gap_closed_no_eitc_$,poverty_rate_no_ctc,persons_lifted_no_ctc,gap_closed_no_ctc_$,poverty_rate_no_hi_eitc,persons_lifted_no_hi_eitc,gap_closed_no_hi_eitc_$,poverty_rate_no_credits,persons_lifted_no_credits,gap_closed_no_credits_$,poverty_rate_expanded_ctc_2021,persons_lifted_expanded_ctc_2021,gap_closed_expanded_ctc_2021_$,poverty_rate_hi_eitc_100pct,persons_lifted_hi_eitc_100pct,gap_closed_hi_eitc_100pct_$,poverty_rate_hi_ctc_300,persons_lifted_hi_ctc_300,gap_closed_hi_ctc_300_$,poverty_rate_hi_ctc_650,persons_lifted_hi_ctc_650,gap_closed_hi_ctc_650_$,poverty_rate_hi_ctc_1000,persons_lifted_hi_ctc_1000,gap_closed_hi_ctc_1000_$
63155.0,26491.0,0.15514211068007283,9798.0,58005974.367466725,1,0.17126118280421185,1018.0,3201358.369282581,0.1652600744200776,639.0,673920.2272690609,0.16247328002533448,463.0,1014660.192443721,0.1767397672393318,1364.0,6289372.996580251,0.14021059298551183,943.0,3444648.8729868084,0.14939434724091522,363.0,1336724.0670758337,0.15514211068007283,0.0,277830.0,0.15442957802232601,45.0,595464.129434228,0.15436624178608185,49.0,912662.4085995927
60269.0,26768.0,0.1919394713700244,11568.0,71678881.5657119,3,0.21201612769417114,1210.0,2811779.0682023913,0.19719922348139177,317.0,564401.6946280599,0.20202757636595928,608.0,953478.7956869751,0.23245781413330235,2442.0,6064193.330517426,0.15870513862848232,2003.0,3950841.9627551287,0.17689027526589127,907.0,801747.8280604929,0.18512004513099603,411.0,360922.3875788152,0.18512004513099603,411.0,754637.3875788152,0.17700642121156815,900.0,1129091.510337606
66504.0,26235.0,0.1895825814988572,12608.0,62630361.11609073,4,0.2062883435582822,1111.0,4176367.0944741666,0.19346204739564538,258.0,1002469.581122905,0.19568747744496573,406.0,1469667.2848717645,0.23574521833273188,3070.0,8529005.820978269,0.16331348490316372,1747.0,6122416.537162155,0.18570311560206904,258.0,1981467.3056068867,0.18705641765908818,168.0,507437.61549622566,0.18579333573920365,252.0,1088548.969778508,0.18579333573920365,252.0,1666993.969778508
74671.0,29839.0,0.112908625838679,8431.0,46015726.396571815,6,0.12919339502618152,1216.0,4326954.464206696,0.12106440251235419,609.0,1033733.4366817102,0.12022070147714642,546.0,1527915.2615446001,0.1403489976028177,2049.0,8142243.646306358,0.08949927013164415,1748.0,3163981.2210564762,0.09421328226486855,1396.0,1612214.2705932185,0.11049805145237107,180.0,297449.43090505153,0.10798034042667166,368.0,630154.9729782194,0.1076723225884212,391.0,946875.4348620921
70852.0,28854.0,0.14980522779879185,10614.0,50622453.8420147,7,0.17585953819228814,1846.0,4443942.7848901,0.15317845650087505,239.0,939012.0201998726,0.16346750973861007,968.0,1462114.523153022,0.18133574211031445,2234.0,8401288.609839782,0.1182323717043979,2237.0,4775737.616241924,0.14406085925591375,407.0,1880471.9710334018,0.14822446790492858,112.0,447675.8259977102,0.14688364478066956,207.0,963297.7612606585,0.14688364478066956,207.0,1468732.7612606585
73001.0,30017.0,0.11449158230709168,8358.0,53747209.23513515,8,0.12887494691853535,1050.0,2075411.647827603,0.11869700415062807,307.0,244568.27489054203,0.11909425898275366,336.0,691321.318978101,0.145093902823249,2234.0,5124861.568956472,0.105327324283229,669.0,3100810.113517508,0.11221764085423487,166.0,782505.1835434362,0.11405323214750483,32.0,253072.45289243758,0.11021766825111985,312.0,523060.3719619587,0.10868344269256586,424.0,785508.7713619769
33986.0,12757.0,0.15835932442770553,5382.0,27865725.23665051,9,0.1805449302654034,754.0,1169434.743817903,0.1721297004648973,468.0,137877.95007828623,0.16121344082857647,97.0,376678.65078925714,0.19210851527099393,1147.0,3006738.4979696535,0.1487377155299241,327.0,1650731.743853435,0.15703524980874478,45.0,483926.2830906287,0.15835932442770553,0.0,120540.0,0.15765315129759314,24.0,259906.79895333946,0.15544636026599187,99.0,395825.53974791616
89803.0,33096.0,0.08366090219703128,7513.0,40334227.962071985,10,0.09735754930236183,1230.0,3254721.9912989214,0.08887230938832778,468.0,702899.5616160929,0.08869414162110398,452.0,1119446.158581026,0.11174459650568466,2522.0,6679028.0255884975,0.06855004843936172,1357.0,3983271.732397571,0.0716902553366814,1075.0,1154620.3208805025,0.08290368918633008,68.0,355965.11183308065,0.080142088794361,316.0,746861.7362478077,0.080142088794361,316.0,1133471.7362478077
132145.0,46416.0,0.10015513261947104,13235.0,64000786.406249285,11,0.11449544061447652,1895.0,4453649.889986351,0.10522532067047562,670.0,957777.8623405918,0.10403723182867305,513.0,1587889.1107237786,0.13685724015286238,4850.0,10112259.824720204,0.08856937455068296,1531.0,6850670.928700656,0.0938817208369594,829.0,1774752.5817477852,0.09979189526656325,48.0,582353.145169124,0.09681788943963071,441.0,1238388.6690402478,0.09584168905369102,570.0,1866139.1362884566
72505.0,29974.0,0.1520998551824012,11028.0,56028266.786144,13,0.1622508792497069,736.0,3833323.4295015484,0.15852699813805946,466.0,521361.3655579239,0.15907868422867388,506.0,1434850.8552200273,0.18099441417833254,2095.0,6734207.254818648,0.1162402592924626,2600.0,4356284.665596053,0.13999034549341424,878.0,1697385.4691011608,0.1520998551824012,0.0,388290.0,0.14932763257706366,201.0,836511.0569678918,0.14910695814081787,217.0,1268299.9718455076
