weighted_persons,weighted_filers,poverty_rate_baseline,persons_in_poverty_baseline,poverty_gap_baseline_$,house_district,poverty_rate_no_eitc,persons_lifted_no_eitc,gap_closed_no_eitc_$,poverty_rate_no_ctc,persons_lifted_no_ctc,gap_closed_no_ctc_$,poverty_rate_no_hi_eitc,persons_lifted_no_hi_eitc,gap_closed_no_hi_eitc_$,poverty_rate_no_credits,persons_lifted_no_credits,gap_closed_no_credits_$,poverty_rate_expanded_ctc_2021,persons_lifted_expanded_ctc_2021,gap_closed_expanded_ctc_2021_$,poverty_rate_hi_eitc_100pct,persons_lifted_hi_eitc_100pct,gap_closed_hi_eitc_100pct_$,poverty_rate_hi_ctc_300,persons_lifted_hi_ctc_300,gap_closed_hi_ctc_300_$,poverty_rate_hi_ctc_650,persons_lifted_hi_ctc_650,gap_closed_hi_ctc_650_$,poverty_rate_hi_ctc_1000,persons_lifted_hi_ctc_1000,gap_closed_hi_ctc_1000_$
32510.0,13663.0,0.1688403568132882,5489.0,32472920.005291585,1,0.18422023992617656,500.0,1853825.8827693276,0.17591510304521685,230.0,118839.43807452545,0.17674561673331282,257.0,605494.7646209374,0.19667794524761611,905.0,3418315.0259077214,0.15709012611504153,382.0,2289622.6991404854,0.16142725315287604,241.0,739385.4724681787,0.1666256536450323,72.0,174377.66672880575,0.1666256536450323,72.0,374297.66672880575,0.16164257151645647,234.0,559206.0183452778
31205.0,13289.0,0.1967312930620093,6139.0,39263627.21875942,2,0.21400416599903863,539.0,1702562.2487288043,0.2035891684024996,214.0,515070.6984049678,0.2039096298670085,224.0,557277.869309336,0.23044383912834482,1052.0,3642662.357901484,0.17782406665598463,590.0,2082215.24393785,0.1934625861240186,102.0,708157.9660599977,0.1967312930620093,0.0,180810.0,0.1934625861240186,102.0,381507.30325999856,0.1934625861240186,102.0,581182.3032599986
30810.0,13104.0,0.1786108406361571,5503.0,31812291.18462531,3,0.20892567348263552,934.0,2164564.7171616964,0.19720869847452127,573.0,662828.4871751778,0.1943524829600779,485.0,714994.2035054676,0.24164232392080492,1942.0,5053670.464311395,0.15767607919506654,645.0,2339789.5701700747,0.17140538786108406,222.0,902537.0683934428,0.1786108406361571,0.0,196770.0,0.1786108406361571,0.0,426335.0,0.1786108406361571,0.0,655900.0
32409.0,14338.0,0.14739732790274307,4777.0,32151068.06896929,5,0.15924588848776575,384.0,1245009.8531463668,0.14878583109630042,45.0,201648.80384793505,0.1533833194483014,194.0,441887.35554682836,0.16048011354870562,424.0,2165377.3055634312,0.14138048073066123,195.0,2384075.425909821,0.1454225678052393,64.0,601354.7353749834,0.14588540220309174,49.0,172478.34805258736,0.1454225678052393,64.0,368977.5346549861,0.1454225678052393,64.0,564977.5346549861
31528.0,13289.0,0.1696587160619132,5349.0,29335678.62596243,6,0.1795229637147932,311.0,1876918.3166552298,0.17352829231159606,122.0,643745.382638026,0.17032479066226847,21.0,655290.3390132114,0.18253615833544787,406.0,3750293.7413409725,0.14786856127886322,687.0,1211022.6877194121,0.14786856127886322,687.0,604620.3686394095,0.15862090839888354,348.0,126110.7851229757,0.1582402943415377,360.0,261874.77897709608,0.14786856127886322,687.0,392130.5501194149
31466.0,11811.0,0.21346850568867984,6717.0,27279631.94566131,7,0.23479311002351744,671.0,1346623.513497714,0.21442191571855335,30.0,98658.6928794086,0.22287548465009852,296.0,462861.741006691,0.28170088349329436,2147.0,2852253.253050968,0.14374245217059683,2194.0,3211181.746026445,0.20673107481090702,212.0,563883.58980719,0.20997266891247696,110.0,295643.20317065343,0.20997266891247696,110.0,625658.2031706534,0.2098455475751605,114.0,955351.482336022
39338.0,15993.0,0.14362702730184554,5650.0,29175779.713425197,9,0.1566170115410036,511.0,2504296.2784954794,0.15173623468402053,319.0,705462.2419160604,0.15638822512583253,502.0,918306.555613324,0.17484366261629977,1228.0,4737726.248661853,0.10460623315877778,1535.0,1549394.366480425,0.11330011693527886,1193.0,842810.8990953304,0.137729421932991,232.0,171003.47742985934,0.13747521480502314,242.0,361685.8671396747,0.13747521480502314,242.0,552295.8671396747
33053.0,14402.0,0.1499712582821529,4957.0,27505630.306585833,11,0.16534051372038847,508.0,2106327.063802995,0.16219405197712763,404.0,563530.8472606167,0.1499712582821529,0.0,754027.7760000043,0.17111911172964633,699.0,4277742.209239922,0.12791577163948809,729.0,3486894.491066035,0.14978973164311862,6.0,1104107.0634552017,0.1481559918918101,60.0,272351.7794728875,0.1481559918918101,60.0,589626.7794728875,0.1481559918918101,60.0,906901.7794728875
35361.0,14074.0,0.10715194706032069,3789.0,21090654.893760957,12,0.12547722066683634,648.0,1263189.4239405394,0.1084245355052176,45.0,214524.71293196082,0.11368456774412489,231.0,388855.268944636,0.12740024320579169,716.0,2267212.1871993206,0.083057605836939,852.0,911960.9022495262,0.09516133593506972,424.0,432165.9358615726,0.10715194706032069,0.0,106680.0,0.10715194706032069,0.0,231140.0,0.10672775091202172,15.0,354132.67561751977
35702.0,14398.0,0.10923757772673799,3900.0,22880908.89211258,13,0.11752842977984426,296.0,1653266.4283841103,0.11080611730435269,56.0,73731.88965143636,0.11189849308162007,95.0,590274.393217288,0.1270797154221052,637.0,2772589.3088369854,0.09915410901350065,360.0,1789728.5170141086,0.10923757772673799,0.0,817462.5370800011,0.10923757772673799,0.0,143220.0,0.10167497619180998,270.0,287940.5293597095,0.10167497619180998,270.0,428570.5293597095
37011.0,15109.0,0.12636783658912215,4677.0,22641678.22097388,14,0.15706141417416444,1136.0,1556054.2246024013,0.13409526897408877,286.0,516579.09374212474,0.13477074383291454,311.0,531881.3573613912,0.16457269460430682,1414.0,3639836.440792501,0.10480667909540407,798.0,1628464.608042799,0.12026154386533733,226.0,517074.5757715665,0.1255032287698252,32.0,161092.45289243758,0.11785685336791765,315.0,334444.93022856116,0.11785685336791765,315.0,483894.93022856116
38059.0,14734.0,0.11639822381039965,4430.0,27090737.446863223,16,0.14301479282167162,1013.0,1763175.4776988737,0.11758059854436533,45.0,143484.94626993313,0.13507974460705746,711.0,498005.7525390871,0.16429753803305394,1823.0,3973287.4303720407,0.10641372605691164,380.0,1674086.0659630187,0.11324522451982448,120.0,561570.4139063768,0.11639822381039965,0.0,143850.0,0.11639822381039965,0.0,311675.0,0.11324522451982448,120.0,475321.1856663786
21917.0,7915.0,0.08897203084363736,1950.0,9013859.888170177,18,0.10516950312542775,355.0,661847.1280404385,0.09960304786238992,233.0,154105.11285056733,0.09672856686590318,170.0,226086.19733569212,0.11434046630469498,556.0,1349114.873305006,0.06875941050326231,443.0,375147.59840916283,0.07514714605101062,303.0,75493.00060334243,0.07856914723730438,228.0,38804.82272553444,0.07856914723730438,228.0,79229.82272553444,0.07856914723730438,228.0,119654.82272553444
42306.0,15528.0,0.08109960762066847,3431.0,16553809.551460512,19,0.09235096676594337,476.0,1210185.8515077494,0.08677256181156337,240.0,387269.0305292979,0.08109960762066847,0.0,430502.5240000002,0.10159315463527632,867.0,2650281.2487709075,0.07299201058951449,343.0,1522008.185164433,0.07311019713515814,338.0,496506.1607306693,0.08050867489245024,25.0,132026.45460066944,0.07384295371814872,307.0,273516.05620066077,0.07384295371814872,307.0,403121.05620066077
93875.0,34125.0,0.098982689747004,9292.0,49558808.45366904,20,0.12447403462050599,2393.0,4130999.2597547174,0.1121491344873502,1236.0,1639613.3216685355,0.11038082556591211,1070.0,1185669.280530177,0.13497736351531292,3379.0,8982025.290982291,0.08113981358189082,1675.0,4846366.920105487,0.09439147802929428,431.0,1275455.8087891117,0.09821571238348868,72.0,443315.72422266006,0.09767243675099867,123.0,953476.8327150047,0.09604260985352862,276.0,1447231.7346329093
