group,tci_lo,tci_hi,households,avg_cap9_static,total_cap9_static_M,pct_hh_up_cap9_static,avg_cap9_behavioral,total_cap9_behavioral_M,pct_hh_up_cap9_behavioral,avg_ordinary_static,total_ordinary_static_M,pct_hh_up_ordinary_static,avg_ordinary_behavioral,total_ordinary_behavioral_M,pct_hh_up_ordinary_behavioral,share_cap9_static,share_cap9_behavioral,share_ordinary_static,share_ordinary_behavioral
Lowest 20%,0.0,31572.031211999998,69942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Second 20%,31572.031211999998,67785.26729999999,87855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Middle 20%,67785.26729999999,109567.26623699999,101149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fourth 20%,109567.26623699999,180505.145793,111805.0,0.27743276275194295,0.03101837003948098,5.206386118688789,0.2323506683207808,0.025977966471604896,5.083851348329682,0.27743276275194295,0.03101837003948098,5.206386118688789,0.2323506683207808,0.025977966471604896,5.083851348329682,0.000536971604254109,0.0005472486898016341,0.00018292317650841903,0.0002030883784325746
Next 15%,180538.38880000002,359223.0,96187.0,13.117332473236024,1.2617168586031533,20.52252383378211,10.793778076299578,1.0382211318250276,20.13161861790055,15.284587078297463,1.470178577300198,20.52252383378211,12.205043419564532,1.1739665113976536,20.13161861790055,0.021842093082784262,0.0218710403963546,0.00867001506049737,0.009177737425848898
Next 4%,359245.50261749997,701024.705125,22981.0,445.2089010805852,10.231345755732928,85.36617205517601,363.0826057293671,8.344001362266585,84.94843566424437,796.6080069117161,18.306848606838148,85.36617205517601,595.9112706438003,13.694636910665174,84.94843566424437,0.1771189826267966,0.17577372032543626,0.1079601183027731,0.10706078962916037
Top 1%,702845.358333,40132032.038078256,4424.0,10452.373730047997,46.241301381732335,99.00542495479205,8603.510303799321,38.0619295840082,99.00542495479205,33852.26719022837,149.7624300495703,99.00542495479205,25547.018010635216,113.0200076790502,99.00542495479205,0.800501952686165,0.8018079905884075,0.8831869434602211,0.8835583845665581
