tax_year,law,option,top_share,static_M,behavioral_M,nltcg_M
2026,act46,cap9,central,57.271267060964945,47.1307577630085,3920.3834729999994
2026,act46,ordinary,central,113.39969996553454,89.29677961191194,3920.3834729999994
2026,act46,cap9,low,56.50209453014726,46.39928229088564,3920.383473
2026,act46,ordinary,low,109.31909553785567,85.70414028083275,3920.383473
2026,act46,cap9,model,57.77147212477266,47.58894452006708,3920.383473000001
2026,act46,ordinary,model,116.88327698369058,92.23441538249105,3920.383473000001
2027,act46,cap9,central,56.12924310078743,46.075928338491,4110.660891099999
2027,act46,ordinary,central,112.20585261612575,88.21398522344394,4110.660891099999
2027,act24,cap9,central,57.70227133939903,47.41393602618971,4110.660891099999
2027,act24,ordinary,central,169.43822485200002,127.816151361527,4110.660891099999
2027,act46,cap9,low,54.48780034753568,44.53415245497936,4110.660891099999
2027,act46,ordinary,low,106.46460243715838,83.29825698228107,4110.660891099999
2027,act24,cap9,low,56.83637773897103,46.57720024655616,4110.660891099999
2027,act24,ordinary,low,159.13699283538256,119.33167406126695,4110.660891099999
2027,act46,cap9,model,57.41312186312475,47.23864836493974,4110.6608911
2027,act46,ordinary,model,118.06926920114014,93.07073502558741,4110.6608911
2027,act24,cap9,model,58.197220648991085,47.87335794147266,4110.6608911
2027,act24,ordinary,model,179.6155976276527,135.78156601287063,4110.6608911
2028,act46,cap9,central,59.59828806044643,48.92465228860686,4313.293985700001
2028,act46,ordinary,central,118.95693697208566,93.54225312367565,4313.293985700001
2028,act24,cap9,central,61.29568719119068,50.383258708179035,4313.293985700001
2028,act24,ordinary,central,180.26643902023736,136.02942119643794,4313.293985700001
2028,act46,cap9,low,58.007018384086074,47.39980599123464,4313.293985699999
2028,act46,ordinary,low,113.27168999144708,88.64826308462692,4313.293985699999
2028,act24,cap9,low,60.59155114018473,49.68998848459811,4313.293985699999
2028,act24,ordinary,low,170.0237504863776,127.45485488590673,4313.293985699999
2028,act46,cap9,model,60.72274077877615,49.96518029704409,4313.2939857
2028,act46,ordinary,model,124.85681687447071,98.44239632392896,4313.2939857
2028,act24,cap9,model,61.56940594160535,50.64314082797647,4313.2939857
2028,act24,ordinary,model,190.16087709006405,143.80453613288188,4313.2939857
2029,act46,cap9,central,59.860233454680234,49.06217335759294,4525.811621500001
2029,act46,ordinary,central,120.53801591934157,94.88849622906301,4525.811621500001
2029,act24,cap9,central,63.98536091664353,52.555173055935605,4525.811621500001
2029,act24,ordinary,central,190.18288986160428,143.55948485212753,4525.811621500001
2029,act46,cap9,low,57.426275370503156,46.79397319811604,4525.811621500001
2029,act46,ordinary,low,113.34951742596019,88.85129667324254,4525.811621500001
2029,act24,cap9,low,63.29243274212769,51.86428949971134,4525.811621500001
2029,act24,ordinary,low,179.74127427865045,134.76990049908844,4525.811621500001
2029,act46,cap9,model,62.10769822481235,51.08429579364854,4525.8116215
2029,act46,ordinary,model,128.57153364275075,101.356013942736,4525.8116215
2029,act24,cap9,model,64.14053204034322,52.70763911786177,4525.8116215
2029,act24,ordinary,model,200.14163799225418,151.2760392744219,4525.8116215
2030,act46,cap9,central,63.30366493946225,51.86083669672003,4748.213798500001
2030,act46,ordinary,central,127.364365035916,100.15112677351539,4748.213798500001
2030,act24,cap9,central,67.78914586343942,55.67050286808827,4748.213798500001
2030,act24,ordinary,central,201.10277575052297,151.83203485186124,4748.213798500001
2030,act46,cap9,low,60.84118490330495,49.537397319305775,4748.2137985
2030,act46,ordinary,low,120.14568546127867,94.04111046560982,4748.2137985
2030,act24,cap9,low,67.16714813598891,55.04850514063776,4748.2137985
2030,act24,ordinary,low,190.66265173980113,143.02745857996194,4748.2137985
2030,act46,cap9,model,65.58162428161853,53.9383975243514,4748.2137985
2030,act46,ordinary,model,135.95972264517104,107.14694669679074,4748.2137985
2030,act24,cap9,model,67.8435229340715,55.72487993872026,4748.2137985
2030,act24,ordinary,model,211.3471079458629,159.7185128137537,4748.2137985
2031,act46,cap9,central,67.52633541318271,55.29702038342839,4985.4427872999995
2031,act46,ordinary,central,135.29336182999364,106.33368480282037,4985.4427872999995
2031,act24,cap9,central,71.90009462571894,59.04514043589275,4985.4427872999995
2031,act24,ordinary,central,213.83796043072505,161.46695561088526,4985.4427872999995
2031,act46,cap9,low,65.19498046263232,53.03657408841335,4985.4427872999995
2031,act46,ordinary,low,128.2908305533745,100.38337319636798,4985.4427872999995
2031,act24,cap9,low,71.66916386090824,58.814209671081834,4985.4427872999995
2031,act24,ordinary,low,204.6267813703583,153.7910162829713,4985.4427872999995
2031,act46,cap9,model,69.47188717916376,57.139200071222,4985.4427872999995
2031,act46,ordinary,model,143.854117886787,113.35639780263685,4985.4427872999995
2031,act24,cap9,model,71.90016010506433,59.045205915238185,4985.4427872999995
2031,act24,ordinary,model,223.52717584455056,168.91630860013638,4985.4427872999995
