tax_year,group,model_cg_M,dotax_target_M,scale
2026,100_150,165.18083875170208,151.06571250000002,0.9145474356567487
2026,150_200,109.68960195981705,169.9366215,1.5492500516343695
2026,200_300,255.25032254557757,326.2736205,1.2782495914054741
2026,300_400,117.42331188688243,292.548984,2.4914046393259768
2026,1mp,3484.0343934232383,2384.4468276,0.684392448048471
2026,400_1m,334.90048660538935,596.1117068999998,1.7799666788851032
2027,100_150,170.50523124588508,158.39774875,0.9289905511554369
2027,150_200,114.19251065611601,178.18456505,1.5603874897417072
2027,200_300,272.2186480550079,342.10944435,1.256745071633994
2027,300_400,123.09415501460245,306.74796879999997,2.4919783458736195
2027,1mp,3967.7088088762976,2500.17693132,0.6301311542134262
2027,400_1m,334.8640334028598,625.0442328299999,1.8665612621288519
2028,100_150,176.1914349627684,166.20589125,0.9433256008450213
2028,150_200,125.42300717491037,186.96808934999999,1.4907001000961577
2028,200_300,292.45413415102377,358.97356845,1.2274525353935517
2028,300_400,133.73870846099186,321.86896559999997,2.406700119239456
2028,1mp,4488.814023119409,2623.4219768400003,0.5844354351345807
2028,400_1m,351.3264584017985,655.8554942099998,1.8667978984375928
2029,100_150,174.14694949387194,174.39491875000002,1.0014239081238503
2029,150_200,139.20834040930217,196.18007825,1.4092552046320557
2029,200_300,314.5989370253094,376.66033275,1.1972714730428278
2029,300_400,144.31208031322967,337.727572,2.3402584958027184
2029,1mp,5128.147898406431,2752.6789758000004,0.5367783906262521
2029,400_1m,349.4243469980834,688.1697439499999,1.9694384488719514
2030,100_150,174.55310265805852,182.96483125000003,1.0481900834980842
2030,150_200,157.99231314646823,205.82053175,1.3027249721902114
2030,200_300,334.98015709205015,395.16973725,1.1796810314988604
2030,300_400,155.76576363076003,354.323788,2.2747218627574557
2030,1mp,5850.682213237049,2887.9479282000007,0.49360874902179397
2030,400_1m,343.0969698866954,721.9869820499999,2.1043233995579427
2031,100_150,175.9745903247806,192.10607125,1.0916693762175946
2031,150_200,155.99568876875912,216.10368215,1.3853182985738934
2031,200_300,348.4648768080028,414.91310205,1.190688444272129
2031,300_400,167.71814523209554,372.02641839999995,2.2181643964949287
2031,1mp,6670.438836819751,3032.23481076,0.4545780097738924
2031,400_1m,377.89168408326816,758.0587026899998,2.0060211288559664
